STABBREV,STATNAM,POP1980,POP1990,POP2000,POP2010,POP2020
PA,Pennsylvania,26433,28076,28080,28276,26069
OR,Oregon,23921,23598,24530,25748,26196
GA,Georgia,19845,20279,23659,25011,26236
KY,Kentucky,20854,21050,24053,25746,26420
MN,Minnesota,18430,18670,22330,26097,26459
IN,Indiana,24862,24705,26556,26890,26466
IN,Indiana,23841,23645,24555,25740,26472
NC,North Carolina,22325,22209,24384,27281,26577
NY,New York,25035,26796,26944,27087,26582
NE,Nebraska,20297,21318,24334,25241,26598
KY,Kentucky,25060,24340,26889,27720,26627
AL,Alabama,24253,23647,25764,26790,26659
MI,Michigan,22002,22454,26873,26570,26659
SC,South Carolina,31634,29361,28818,28933,26667
OR,Oregon,21732,21683,23791,25213,26670
IA,Iowa,26184,25186,26224,26306,26715
WI,Wisconsin,21039,21650,24316,26664,26718
OH,Ohio,25598,26521,28836,28836,26721
VA,Virginia,10543,13527,16803,23584,26723
TX,Texas,13532,17204,20814,24837,26725
MS,Mississippi,27349,25506,28149,28065,26743
GA,Georgia,21763,23257,25435,26175,26784
GA,Georgia,4774,9429,15999,22330,26798
LA,Louisiana,25727,25346,25494,26656,26812
KY,Kentucky,41889,36574,33202,29278,26831
TN,Tennessee,22280,22633,25578,26026,26831
KY,Kentucky,17778,19955,23208,24939,26871
WV,West Virginia,27234,26697,27078,28212,26938
OK,Oklahoma,30905,29550,30150,29600,26945
GA,Georgia,22592,24072,26067,27223,27030
IL,Illinois,32976,30787,31334,29718,27077
OH,Ohio,22802,24249,27695,28709,27088
NM,New Mexico,30347,23794,25595,27213,27172
LA,Louisiana,19086,19419,21601,23788,27199
NM,New Mexico,22751,25743,30126,29393,27201
IL,Illinois,37467,35244,32913,32612,27238
SC,South Carolina,30751,30337,29881,28961,27244
VA,Virginia,10244,12429,20047,25691,27249
TN,Tennessee,19567,20090,23102,25841,27351
OR,Oregon,21164,21570,24262,25250,27390
VT,Vermont,23440,24053,26277,27231,27393
TX,Texas,11434,16372,22246,26384,27402
KY,Kentucky,24138,24416,26573,26835,27432
OH,Ohio,24328,25371,27330,28550,27477
IN,Indiana,22854,23661,27554,28525,27613
OH,Ohio,28383,29108,29210,28215,27662
GA,Georgia,25998,26300,27597,27153,27700
CA,California,18217,23460,27507,28610,27743
MS,Mississippi,21741,22085,25362,27134,27777
WV,West Virginia,25794,25938,28000,29211,27791
