STABBREV,STATNAM,POP1980,POP1990,POP2000,POP2010,POP2020
TX,Texas,40242,39955,41188,41280,41570
AR,Arkansas,27409,31186,38386,41513,41627
OK,Oklahoma,20291,22795,27740,34506,41662
TX,Texas,27656,30777,36363,38437,41668
MI,Michigan,40448,38982,42285,42476,41761
GA,Georgia,12427,17618,26225,32808,41799
WI,Wisconsin,39314,40548,43384,41749,41872
TN,Tennessee,25305,25559,28806,38413,41990
OH,Ohio,34603,35415,40543,42040,42018
OH,Ohio,50075,47870,46966,43784,42025
ID,Idaho,33220,33754,37410,39265,42090
WA,Washington,30639,33350,39564,41120,42104
MO,Missouri,37693,38765,40867,42794,42130
WI,Wisconsin,31149,32765,36804,41019,42212
WY,Wyoming,41723,38823,37613,43806,42272
UT,Utah,10198,15518,29736,36324,42357
WV,West Virginia,61389,50871,47427,44443,42425
LA,Louisiana,31924,39996,43044,45924,42477
OH,Ohio,38334,39443,40924,40814,42528
TX,Texas,22560,27991,33001,37890,42545
NC,North Carolina,36748,38892,42954,45422,42578
VA,Virginia,,,48411,43055,42590
AR,Arkansas,37766,38467,40443,43462,42600
CO,Colorado,24352,24423,33432,41276,42679
PA,Pennsylvania,32870,36176,41624,44947,42681
NC,North Carolina,24599,27859,34835,41240,42712
OH,Ohio,37751,38498,42084,42698,42713
MO,Missouri,20017,27495,37051,44002,42745
VA,Virginia,,,35135,37821,42772
TN,Tennessee,31983,34725,39270,41052,42774
OK,Oklahoma,43419,42299,43182,45048,42848
GA,Georgia,32386,33815,38127,41475,42853
FL,Florida,19870,25923,34450,40801,42915
WA,Washington,22144,26205,32603,38431,42938
NC,North Carolina,45481,44518,46564,46639,42946
MO,Missouri,36378,35437,39403,42201,42980
VA,Virginia,49130,50495,33047,35725,43010
NH,New Hampshire,36063,38592,40458,43742,43063
GA,Georgia,26894,29592,37413,42356,43092
NC,North Carolina,25811,26846,33121,40271,43109
IA,Iowa,48458,46733,46447,44151,43127
IA,Iowa,40436,39907,41722,42745,43235
IN,Indiana,33606,35324,40285,42223,43265
SC,South Carolina,38161,38577,42768,46734,43273
OH,Ohio,33477,35728,40875,43589,43317
FL,Florida,22287,26780,34844,41551,43474
IN,Indiana,34238,36616,39674,41889,43637
OH,Ohio,31920,34966,42285,44846,43676
OK,Oklahoma,49852,48056,48080,46562,43700
MN,Minnesota,36763,38761,41203,42239,43732
LA,Louisiana,64097,66631,67229,35897,43764
OK,Oklahoma,40524,40581,43953,45837,43773
GA,Georgia,34686,39530,44700,45720,43799
OH,Ohio,33004,37068,40213,43435,43824
FL,Florida,41565,41105,45087,46389,43826
CA,California,39732,43531,44301,44900,44076
PA,Pennsylvania,42253,44164,45586,45913,44092
TN,Tennessee,34110,35303,39926,41869,44159
MT,Montana,22493,25010,36070,40212,44174
VA,Virginia,27559,31636,35075,41993,44186
OH,Ohio,29416,32849,38943,42366,44223
TX,Texas,10635,14589,23743,33410,44279
MO,Missouri,32252,32809,40766,44332,44283
WI,Wisconsin,44421,41758,43287,44159,44295
NY,New York,46824,47225,48055,47980,44308
WA,Washington,24877,26725,33362,40915,44337
KY,Kentucky,34009,34001,38033,42173,44485
PA,Pennsylvania,48303,46083,45932,45200,44492
NC,North Carolina,33086,37223,44711,47401,44520
NC,North Carolina,35135,35681,42151,44996,44578
IL,Illinois,49536,48052,48979,47711,44630
MO,Missouri,33633,35248,39825,45156,44638
NC,North Carolina,40355,42283,44958,47759,44652
MS,Mississippi,51627,47880,49644,48773,44722
GA,Georgia,10175,15438,23417,30233,44738
KY,Kentucky,40849,43044,44829,46250,44793
TX,Texas,24697,29380,36752,41964,44843
MI,Michigan,40188,41502,45787,45248,44862
MS,Mississippi,72344,67935,62977,51137,44922
IL,Illinois,49384,47679,49019,47765,44967
WI,Wisconsin,32351,34773,41319,44205,44977
IN,Indiana,42472,42836,45922,46134,45011
AL,Alabama,30612,32458,39593,43643,45014
MN,Minnesota,43069,40863,43992,45058,45014
IN,Indiana,39887,40307,43445,44436,45055
CA,California,20710,31998,40554,45578,45292
KY,Kentucky,46174,46126,46519,46920,45423
WI,Wisconsin,34314,35909,39858,43857,45440
LA,Louisiana,44207,43185,43926,47168,45463
AR,Arkansas,30744,31804,37331,42090,45736
MI,Michigan,42071,43431,46527,46688,45746
GA,Georgia,38098,38986,42737,44720,45798
OK,Oklahoma,39327,41645,44437,47472,45818
PA,Pennsylvania,35718,41172,43602,45969,45842
TX,Texas,23637,26392,32194,38066,45883
GA,Georgia,35376,36645,42053,45498,45898
VT,Vermont,36933,41588,44216,44513,45905
GA,Georgia,25020,27621,35902,43041,46031
MS,Mississippi,24537,31760,42967,43929,46053
OK,Oklahoma,30535,32089,36534,42416,46067
IN,Indiana,39155,42182,45128,47051,46095
PA,Pennsylvania,46908,46197,46486,46682,46143
OH,Ohio,39155,42310,46005,45858,46150
MN,Minnesota,30982,34384,39650,44442,46228
TN,Tennessee,28700,30541,38961,44519,46250
WI,Wisconsin,35074,36633,40899,44673,46274
OH,Ohio,42554,44585,46611,45949,46422
IN,Indiana,36523,37730,41335,42376,46428
WA,Washington,28979,30948,40066,43531,46445
NY,New York,51742,50470,49927,48946,46456
IA,Iowa,57122,51040,50149,49116,46460
VA,Virginia,,,45049,43475,46553
TX,Texas,18538,20088,26031,35096,46571
WI,Wisconsin,38730,40750,44963,45870,46711
KY,Kentucky,27584,29710,37477,43437,46738
NY,New York,48820,48963,48599,49336,46809
IL,Illinois,52260,51644,53196,53873,46863
WY,Wyoming,24367,29370,33698,46133,47026
OK,Oklahoma,30684,34049,42521,46987,47078
ID,Idaho,24163,26622,36835,40877,47110
NY,New York,49344,51768,51401,50477,47220
FL,Florida,39154,41375,46755,49746,47319
IN,Indiana,35443,37877,46275,47536,47457
NY,New York,44929,46540,51134,51599,47555
PA,Pennsylvania,46784,47919,49984,49762,47577
MN,Minnesota,38749,40690,44127,46183,47582
TX,Texas,35910,38721,44856,48879,47586
AZ,Arizona,20459,29676,38381,47420,47669
NY,New York,40861,44739,48195,49221,47931
WA,Washington,40103,38775,40740,44776,47973
ID,Idaho,36489,37583,41735,45607,47992
OK,Oklahoma,43610,42919,45621,47557,48003
KY,Kentucky,23328,24824,33337,42074,48065
OK,Oklahoma,40698,43270,48109,50384,48129
AR,Arkansas,49499,49939,50866,50902,48163
OH,Ohio,43089,44915,47910,49423,48230
KY,Kentucky,55513,51150,49752,49542,48261
LA,Louisiana,39763,41745,42509,46735,48396
NM,New Mexico,42019,42207,45044,48376,48430
NY,New York,49812,52337,51784,51125,48455
NC,North Carolina,55286,55516,57370,54691,48622
NC,North Carolina,40952,39995,49063,58505,48715
LA,Louisiana,53475,61961,52531,52334,48750
NC,North Carolina,55988,56558,55606,56552,48900
IN,Indiana,53336,48139,48508,49462,48914
CO,Colorado,28676,32273,46145,46824,48939
TX,Texas,25055,30533,38628,44911,48981
TX,Texas,17803,22677,34147,42750,49130
IL,Illinois,57968,51159,51020,50486,49284
AL,Alabama,47821,49633,49129,50251,49326
LA,Louisiana,64253,58086,53500,54650,49406
NV,Nevada,19421,27637,41259,46997,49488
NY,New York,53439,51981,49708,50219,49532
OK,Oklahoma,26881,29011,33924,41848,49555
GA,Georgia,36990,39988,44874,48434,49570
MN,Minnesota,46256,47828,49985,51461,49671
TX,Texas,16756,22650,32408,42918,49753
MD,Maryland,25508,33953,40563,47798,49874
VT,Vermont,34788,39980,45417,47746,49946
IL,Illinois,61607,56393,55836,52919,49967
MI,Michigan,34917,38202,47874,48460,49978
NE,Nebraska,34797,37447,42259,46102,50084
TX,Texas,42156,43949,48499,49793,50088
NH,New Hampshire,27931,35410,43666,47818,50107
TX,Texas,24407,30687,41133,45413,50123
TN,Tennessee,27916,30411,37586,45058,50237
OR,Oregon,35264,38889,44479,46034,50395
TX,Texas,38127,41049,46659,50845,50412
TN,Tennessee,49467,46315,48152,49683,50429
PA,Pennsylvania,64444,59381,57565,54984,50454
ME,Maine,45028,49767,50888,52228,50477
NC,North Carolina,51037,49587,54749,58098,50623
IN,Indiana,34291,38835,46109,50047,50679
TX,Texas,23164,27312,39304,46006,50748
RI,Rhode Island,46942,48859,50648,49875,50793
VA,Virginia,75803,73104,57930,54151,50948
PA,Pennsylvania,35237,39944,47722,52822,51155
KY,Kentucky,41830,43781,47687,49285,51541
MI,Michigan,49499,49477,51104,52293,51589
NV,Nevada,9048,17781,32485,43946,51591
LA,Louisiana,40214,43978,48583,52160,51767
IL,Illinois,46338,45957,51032,53497,51788
MS,Mississippi,36018,38375,42902,47671,51788
WI,Wisconsin,42831,46104,51731,52410,51812
VA,Virginia,,,40468,48914,51814
OH,Ohio,55096,53619,53309,52959,51881
WI,Wisconsin,51736,49264,49597,51208,51938
NC,North Carolina,20383,22856,33646,46952,52082
TX,Texas,41382,43735,47372,53330,52214
IA,Iowa,34878,36033,40671,46225,52403
WI,Wisconsin,30867,34291,40631,48971,52442
OH,Ohio,46178,47507,52523,53139,52447
OK,Oklahoma,48113,48066,48996,50976,52455
MD,Maryland,30889,35028,46543,51454,52460
IL,Illinois,30582,32337,37535,50063,52533
LA,Louisiana,37259,42437,48072,52780,52549
VA,Virginia,22620,27791,34262,46689,52552
AL,Alabama,51407,47796,53926,53227,52579
OR,Oregon,35646,37557,43560,49351,52589
TX,Texas,28780,36304,43653,49625,52598
TX,Texas,35323,39926,45124,47735,52624
ID,Idaho,19480,23674,27467,37536,52913
IL,Illinois,61522,61067,59612,60218,52974
KY,Kentucky,26146,30508,39041,48586,52991
AZ,Arizona,37080,40216,51335,53597,53272
TN,Tennessee,41878,42383,49015,52266,53276
MI,Michigan,56961,55498,58266,55729,53323
NY,New York,55153,54191,55073,55531,53324
TN,Tennessee,48425,47227,51910,54181,53404
IL,Illinois,28630,30806,41786,54165,53448
AL,Alabama,38533,40240,43615,49948,53465
NV,Nevada,17269,33530,45291,48818,53702
VA,Virginia,65529,64313,51103,54876,53935
MO,Missouri,42011,41307,41165,52274,53955
MO,Missouri,39059,42514,48258,52595,54013
NC,North Carolina,31666,36952,42695,51079,54086
KS,Kansas,48905,49301,53597,55606,54303
TN,Tennessee,30037,35061,43156,49666,54315
VA,Virginia,35740,39549,47286,56159,54477
TN,Tennessee,31284,33016,44294,51407,54683
GA,Georgia,13371,30167,43664,50513,54768
OK,Oklahoma,39490,41747,45516,52431,54795
TN,Tennessee,28553,31255,39086,48556,54886
OH,Ohio,61901,59733,58683,56745,55069
NC,North Carolina,59819,57274,59648,59495,55122
ME,Maine,41781,46948,51791,54418,55478
CA,California,33928,48456,54501,55365,55620
CO,Colorado,27424,32284,43941,51334,55638
IL,Illinois,65970,60186,60653,58498,55691
VA,Virginia,112167,113621,51078,54842,55696
CO,Colorado,13320,21928,41659,52197,55731
MS,Mississippi,31030,31826,38744,47351,55813
MO,Missouri,20467,25561,39703,51675,56066
MS,Mississippi,33795,38714,48621,55834,56145
WV,West Virginia,65789,57249,56598,56418,56205
SC,South Carolina,40983,44506,52537,55342,56216
TX,Texas,40721,41320,48073,54635,56231
TN,Tennessee,50205,51505,56742,57424,56356
MN,Minnesota,25717,30521,41101,53887,56621
TN,Tennessee,43751,44565,53563,56833,56721
TX,Texas,19798,23390,32663,43205,56794
KY,Kentucky,21813,23867,33061,47173,57155
AL,Alabama,54519,51666,54984,54428,57227
UT,Utah,17349,20789,33779,46163,57289
LA,Louisiana,48458,50055,53807,57999,57359
WV,West Virginia,38181,42835,51589,55486,57440
GA,Georgia,30070,35072,44104,55186,57544
LA,Louisiana,56427,55882,58861,61773,57576
UT,Utah,33222,36485,42745,49975,57666
WV,West Virginia,30302,35926,42190,53498,57701
VT,Vermont,51030,54055,57418,56670,57753
ME,Maine,48968,52602,54755,57833,57777
TX,Texas,31398,36378,47297,54258,57887
TN,Tennessee,38311,40339,48014,52796,57889
TX,Texas,38381,48024,55109,58458,57922
OH,Ohio,63849,61834,62319,62450,58240
NY,New York,59400,60060,60370,60079,58388
WI,Wisconsin,43222,45088,52468,56833,58490
NY,New York,59075,60517,61676,62259,58524
PA,Pennsylvania,18271,27966,46302,57369,58535
OH,Ohio,43662,48255,52727,55698,58539
OH,Ohio,54608,56240,59487,59626,58565
NV,Nevada,32022,40443,52457,55274,58639
MO,Missouri,40555,44445,52636,58114,58648
KY,Kentucky,81123,72583,68736,65024,58669
AK,Alaska,25282,40802,49691,55400,58799
AL,Alabama,32259,34222,43671,54571,58805
MS,Mississippi,57304,59308,61586,59779,58879
OH,Ohio,63267,61963,61792,60944,58896
NC,North Carolina,49687,47297,60161,63431,59036
AL,Alabama,36459,39248,51024,57322,59134
AL,Alabama,47356,46860,49756,52947,59183
NV,Nevada,13594,20001,34501,51980,59235
TX,Texas,31426,37944,48140,52579,59541
MO,Missouri,22193,28892,38944,52566,59574
WV,West Virginia,73942,64980,62980,62264,59664
OH,Ohio,64266,62254,63251,61778,59771
VT,Vermont,52393,54928,58039,59534,59807
PA,Pennsylvania,62919,60967,62761,62622,59967
MN,Minnesota,51937,50714,57159,57303,60081
AR,Arkansas,36892,42493,53247,61948,60133
NY,New York,66714,65797,64427,64519,60139
NC,North Carolina,22215,28855,41082,52217,60203
VA,Virginia,111789,108711,61745,63506,60501
VT,Vermont,58347,62142,63400,61642,60572
MI,Michigan,56083,58913,62422,61295,60939
TN,Tennessee,32930,37568,51271,61081,60970
NC,North Carolina,34043,38345,48498,59916,60992
TN,Tennessee,28676,34736,46802,56053,61145
NY,New York,54795,59330,61042,63216,61302
NY,New York,59487,62982,63094,63096,61570
TX,Texas,17714,28981,41100,51182,61598
CO,Colorado,22514,29974,43791,56389,61685
NY,New York,57006,62372,64328,65393,61834
KS,Kansas,64983,62389,64790,64511,61898
NC,North Carolina,46495,46942,54033,59036,62089
NM,New Mexico,47855,48605,51658,53829,62314
MI,Michigan,45781,50057,56755,59173,62423
OH,Ohio,56399,59549,62223,64757,62431
NC,North Carolina,48517,51765,58100,60585,62504
WA,Washington,47435,48439,55180,58781,62584
KY,Kentucky,38982,43438,52715,58849,62613
OH,Ohio,46304,47473,54500,60921,62721
OH,Ohio,29536,31969,40909,52300,62784
OK,Oklahoma,62820,56735,57813,60580,62846
NE,Nebraska,47690,48925,53534,58607,62895
SC,South Carolina,62717,61851,67394,68681,62905
NC,North Carolina,36718,41374,49040,57866,63285
AR,Arkansas,39021,45883,54469,61754,63381
SC,South Carolina,42461,46302,55797,60158,63404
NH,New Hampshire,42884,49216,56325,60088,63705
IN,Indiana,41474,44920,52383,59689,63898
CA,California,25005,36697,53234,55269,64209
MS,Mississippi,23821,30424,39070,55658,64222
MI,Michigan,54110,54624,63351,70311,64394
NC,North Carolina,53787,56918,62899,67810,64444
TN,Tennessee,49300,50480,58128,62544,64499
TX,Texas,46786,54753,59203,64524,64653
PA,Pennsylvania,61967,63202,64151,67295,64727
PA,Pennsylvania,53285,56846,58802,65249,64749
GA,Georgia,18327,25687,37535,52250,64769
NJ,New Jersey,64676,65294,64285,66083,64837
OR,Oregon,64047,60273,62779,63043,64929
KY,Kentucky,45803,49489,56217,63063,65034
NM,New Mexico,51103,57849,61382,65645,65157
SD,South Dakota,13942,15427,24131,44828,65161
OH,Ohio,91564,80298,73894,69709,65249
GA,Georgia,37583,52745,61610,63453,65256
MN,Minnesota,49327,50422,51229,58999,65318
AL,Alabama,68660,67670,70713,67023,65342
OH,Ohio,67974,64274,66217,66501,65359
SC,South Carolina,39015,43599,52647,61697,65403
PA,Pennsylvania,77768,73478,72392,68941,65558
WA,Washington,31184,38341,49405,60699,65726
IL,Illinois,71622,66090,68277,67103,65737
NY,New York,54854,59209,63303,65707,65737
WI,Wisconsin,43469,46975,55225,61976,65763
CA,California,38888,49625,56039,63463,65829
TX,Texas,27266,40518,53597,60968,65920
WV,West Virginia,77710,69371,68652,69099,65921
NC,North Carolina,58657,59393,65632,69340,65969
MI,Michigan,74101,70887,64634,67077,66017
AZ,Arizona,52108,61591,69423,71518,66021
MN,Minnesota,41722,44249,55099,62500,66123
WI,Wisconsin,52127,52360,55195,62415,66297
OK,Oklahoma,66939,68078,69451,70990,66339
OH,Ohio,82569,71074,70226,70400,66497
IN,Indiana,76058,71951,71097,68917,66553
MI,Michigan,47555,53059,61266,63342,66614
IN,Indiana,80934,74169,73403,70061,66674
MI,Michigan,51815,57024,61518,63905,66804
MO,Missouri,42600,48904,55641,65359,66922
MN,Minnesota,46087,49183,56665,64142,67097
ME,Maine,91331,86936,73938,71870,67105
IL,Illinois,56538,57733,61296,66357,67153
MS,Mississippi,61912,62031,64958,67761,67246
AR,Arkansas,90718,85487,84278,77435,67260
GA,Georgia,47899,54457,58417,64073,67306
KS,Kansas,44782,50580,59482,65880,67380
SC,South Carolina,52214,58092,69567,66537,67539
KY,Kentucky,27795,33263,46178,60316,67607
GA,Georgia,56470,58340,61053,68756,67654
NC,North Carolina,41092,52556,59383,66469,67686
NM,New Mexico,44665,51928,62298,63797,67839
GA,Georgia,36991,42464,53282,63942,67872
KY,Kentucky,61310,62879,65514,65565,67875
NY,New York,65150,69120,69441,73442,68016
MI,Michigan,71140,69770,71687,70648,68094
MD,Maryland,80548,74946,74930,75087,68106
CA,California,36366,50631,58309,64665,68163
NC,North Carolina,30055,36414,47260,60619,68573
TX,Texas,26575,34679,48793,59127,68632
TX,Texas,58013,58749,67138,64804,68755
TX,Texas,52265,57483,62110,65631,68839
MN,Minnesota,52314,54044,55941,64013,69112
SC,South Carolina,57847,59567,66271,69661,69351
OR,Oregon,59117,57702,63775,66380,69413
GA,Georgia,50003,55536,58779,67044,69426
FL,Florida,35399,42613,56513,67531,69698
ND,North Dakota,58392,57921,58795,61675,69919
LA,Louisiana,63752,68297,73266,73240,69929
VA,Virginia,44189,53427,56297,65464,70045
TN,Tennessee,54422,55853,62909,68831,70152
WI,Wisconsin,57420,61405,67182,70019,70377
IN,Indiana,36446,38147,46107,56640,70812
MT,Montana,43039,47495,55716,63395,70973
MA,Massachusetts,64317,70092,71535,71372,71029
NC,North Carolina,59449,61704,71219,73673,71359
AL,Alabama,53658,54651,64452,71109,71608
OK,Oklahoma,59016,60915,67367,69967,71754
IN,Indiana,51999,55920,66689,68894,71780
KS,Kansas,63505,67139,62843,71115,71959
OK,Oklahoma,55239,58760,65521,69442,72454
UT,Utah,26033,26601,40735,58218,72698
KY,Kentucky,66878,68941,72265,73955,72748
TN,Tennessee,37021,41494,54433,66283,72803
NM,New Mexico,56449,60686,74798,71492,72902
VA,Virginia,35889,48741,55139,65203,72972
MS,Mississippi,77285,75555,78161,80261,72984
ND,North Dakota,66100,70683,66109,66861,73170
HI,Hawaii,39082,51177,58463,67091,73298
FL,Florida,50549,65070,70423,74364,73321
OH,Ohio,84545,80327,79195,79499,74008
AR,Arkansas,34518,39268,52828,68356,74015
CO,Colorado,,,,55889,74112
PA,Pennsylvania,81243,78218,80023,77742,74129
IL,Illinois,95222,88257,83919,81625,74188
WI,Wisconsin,72799,73605,75555,74749,74207
NM,New Mexico,55993,55765,55511,64727,74455
WV,West Virginia,86821,76819,79220,78859,74591
OH,Ohio,64581,65536,71295,74782,74920
FL,Florida,21300,27760,40601,55043,75305
MI,Michigan,66814,70060,76263,76258,75587
OH,Ohio,79655,76779,79551,77079,75622
WA,Washington,66314,64175,67194,72797,75636
GA,Georgia,25343,30005,41589,60485,75907
NM,New Mexico,30768,45235,66152,76569,76205
NY,New York,79894,82313,81963,80026,76248
NC,North Carolina,33415,38759,49329,63505,76285
TX,Texas,41789,50917,61758,67861,76400
NH,New Hampshire,62116,70121,73825,77117,76458
AR,Arkansas,50835,54676,67165,77076,76822
NY,New York,85697,84234,83955,80317,77042
OH,Ohio,65004,69330,73345,78064,77093
TN,Tennessee,67346,68250,71330,75129,77123
WA,Washington,51648,56464,64525,71404,77155
MO,Missouri,56663,63579,71397,75990,77279
VA,Virginia,90918,97687,65615,73750,77487
MS,Mississippi,66018,68314,72604,74934,78158
VA,Virginia,32633,46389,48102,67009,78254
SC,South Carolina,48611,57494,66215,74273,78607
NY,New York,65155,69277,73966,77547,78624
NC,North Carolina,63132,66061,73814,81234,78784
VA,Virginia,,,65269,75568,79009
WA,Washington,45061,52250,66616,72453,79074
MI,Michigan,55893,57883,64753,75382,79128
VA,Virginia,40918,51729,60371,68676,79462
IN,Indiana,43939,45527,55391,70002,79840
NY,New York,80750,85969,79894,82128,79843
TN,Tennessee,47690,51373,62315,72321,79854
WY,Wyoming,71856,61226,66533,75450,79955
OR,Oregon,58861,59249,70548,75889,80075
IN,Indiana,59555,65294,74057,77358,80240
IN,Indiana,61169,64404,70823,74578,80484
PA,Pennsylvania,83578,78097,83382,81642,80562
NC,North Carolina,67746,70709,77415,83029,80652
OK,Oklahoma,41801,47883,57491,73085,80981
GA,Georgia,35785,43125,55983,70217,81099
WI,Wisconsin,82918,80421,82887,81442,81359
CA,California,49733,58228,60219,72155,81575
OK,Oklahoma,62435,61507,68190,77350,81646
MO,Missouri,58837,61633,68693,75674,81710
KS,Kansas,54809,64371,68691,76227,81881
AL,Alabama,73826,74107,80321,82291,82149
WA,Washington,56025,59358,68600,75455,82149
TX,Texas,42606,58543,73277,78532,82150
IN,Indiana,65088,63657,71435,76794,82208
KY,Kentucky,43346,47567,61236,74319,82217
LA,Louisiana,84128,80331,87700,83384,82540
FL,Florida,63188,78024,79589,73090,82874
TX,Texas,56767,64213,74978,75388,83093
PA,Pennsylvania,92281,89994,89605,88880,83246
MS,Mississippi,57061,65581,75755,82910,83343
MI,Michigan,73578,75651,82874,83629,83494
GA,Georgia,21354,29721,46144,69367,83505
IN,Indiana,86896,80827,84964,82752,83658
VA,Virginia,76709,88189,67725,76314,83757
PA,Pennsylvania,88869,86169,90366,88765,83938
NY,New York,97656,95195,91070,88830,84148
SC,South Carolina,82276,84803,91582,92501,84223
WV,West Virginia,93648,86915,87986,86956,84296
MT,Montana,80696,77691,80357,81327,84414
GA,Georgia,54981,62496,67568,79626,84499
MO,Missouri,87888,83083,85998,89201,84793
TX,Texas,83838,80509,84966,81837,84808
WI,Wisconsin,66152,67783,74021,83686,84900
RI,Rhode Island,81383,87194,85433,82888,85643
GA,Georgia,100718,96311,96065,94565,85790
PA,Pennsylvania,107150,96246,94643,91108,86070
TX,Texas,64172,69884,80130,86771,86395
OH,Ohio,83340,82068,84585,86074,86410
NC,North Carolina,42372,50319,63780,78265,86810
WA,Washington,44048,60195,71558,78506,86857
ID,Idaho,65421,66026,75565,82839,87018
OR,Oregon,45203,49541,62380,75403,87433
NC,North Carolina,72504,75744,89148,90912,87570
AL,Alabama,61642,67613,77483,80406,87866
AL,Alabama,43390,49210,65874,79303,87977
OR,Oregon,58855,62649,75726,82713,88090
MI,Michigan,70038,74768,87904,88319,88619
MO,Missouri,22402,32644,54285,77422,88842
WI,Wisconsin,75064,76559,85897,88759,89396
ID,Idaho,52927,53580,64284,77230,90046
FL,Florida,32894,43941,57663,73314,90352
NC,North Carolina,83426,86064,91928,93643,91096
AL,Alabama,41205,50009,64742,83593,91103
NH,New Hampshire,65806,74929,81743,89118,91118
NY,New York,84581,89123,93765,93772,91283
TX,Texas,68807,74361,84088,86793,91319
VA,Virginia,54367,67670,59209,78305,91419
WI,Wisconsin,66981,72831,82317,86395,91503
CA,California,66738,80345,86265,87841,91601
TX,Texas,47088,52726,70154,75643,91628
PA,Pennsylvania,100381,96771,94556,94528,91647
KY,Kentucky,53352,57508,70872,82916,92701
MD,Maryland,34638,51372,74563,88737,92783
TX,Texas,75301,81665,89306,92565,92893
KY,Kentucky,83317,83866,88616,90336,93076
OH,Ohio,84614,84090,90914,92582,93263
WI,Wisconsin,43262,50251,63155,84345,93536
AL,Alabama,80546,79661,87966,92709,93564
GA,Georgia,36747,54091,70111,85215,93570
NY,New York,99217,99088,98726,98990,93584
IA,Iowa,86561,82628,87704,93158,93667
VA,Virginia,47621,52141,63677,84585,94324
WV,West Virginia,106835,96827,96784,96319,94350
NC,North Carolina,67153,76677,87420,95840,94970
OR,Oregon,68211,70811,78153,85579,95184
MI,Michigan,54899,64273,77654,86986,95238
OK,Oklahoma,46436,55170,70641,86905,95240
NJ,New Jersey,82266,95089,102326,97265,95263
OH,Ohio,74474,81129,90895,93389,95397
AK,Alaska,53983,77720,82840,97581,95655
SC,South Carolina,53361,54516,61351,76652,96016
GA,Georgia,31211,38586,60687,83768,96673
WA,Washington,35025,37473,49347,78163,96749
VA,Virginia,197123,199485,85778,92376,96929
MN,Minnesota,29908,41945,64417,88499,97183
TX,Texas,24726,38263,57733,74171,97216
LA,Louisiana,82483,85860,89974,96318,97557
OH,Ohio,104215,99821,102728,101497,97574
AL,Alabama,65622,70832,82231,93019,97612
NY,New York,77193,83941,95745,99710,97668
VA,Virginia,,,100565,95535,97915
TN,Tennessee,41418,51043,71170,89889,98380
ND,North Dakota,54811,60131,69416,81308,98458
IA,Iowa,72326,74252,79981,89542,98537
GA,Georgia,79800,81251,90565,96317,98584
TN,Tennessee,74546,77982,91837,98294,98823
WA,Washington,48522,54758,74698,89120,99123
IA,Iowa,93745,86403,89143,93653,99266
MI,Michigan,89948,91476,98890,99892,99423
NC,North Carolina,83435,84714,96287,98078,99519
CA,California,52246,64415,78930,94737,99633
IA,Iowa,29513,29755,40750,66135,99678
VA,Virginia,76741,89853,83629,94392,99721
NC,North Carolina,50505,59013,74769,88247,99727
TX,Texas,55248,64343,76596,86129,99956
VA,Virginia,,,94911,97032,100011
AR,Arkansas,70531,73397,88068,96024,100180
IL,Illinois,74624,77932,88969,105160,100420
WY,Wyoming,68649,73142,81607,91738,100512
NC,North Carolina,71043,81613,91436,103505,100720
TN,Tennessee,51095,54812,69498,80956,100974
FL,Florida,47526,68432,87366,98786,101235
OH,Ohio,113572,108276,112075,107841,101877
OH,Ohio,112241,109755,108473,106331,102206
CA,California,51645,78510,92033,98764,102241
GA,Georgia,65789,72462,83525,102599,102864
KY,Kentucky,85949,87189,91545,96656,103312
AL,Alabama,103057,99840,103459,104430,103436
AL,Alabama,46005,54135,65676,82782,103570
MD,Maryland,64540,74339,84644,98733,103588
MD,Maryland,60430,71347,85951,101108,103725
PA,Pennsylvania,68292,78274,91292,101407,103852
MI,Michigan,119881,111723,110157,107771,103856
IL,Illinois,131375,117206,114706,110768,103998
WI,Wisconsin,88964,90083,97296,101633,104154
MT,Montana,51966,59218,74471,90928,104357
MO,Missouri,71233,80603,93807,101492,104682
SC,South Carolina,88243,102637,104646,107456,105556
WI,Wisconsin,78805,85183,93142,98736,105710
NY,New York,87085,94097,96501,101564,105740
WV,West Virginia,75024,75509,81866,96189,105822
IA,Iowa,100884,98276,103877,102172,105941
IN,Indiana,112385,106107,105848,107848,106153
WI,Wisconsin,71507,75000,93759,102228,106478
AZ,Arizona,67629,77658,97470,107449,106717
MO,Missouri,46341,57867,73781,89322,106718
MN,Minnesota,37046,47915,70205,91042,106922
AK,Alaska,17816,39683,59322,88995,107081
AL,Alabama,74632,81331,88787,101547,107202
IL,Illinois,102926,96255,103833,113449,107502
OR,Oregon,55332,65551,84992,99193,107722
TX,Texas,14528,25604,43080,78337,107819
MO,Missouri,51029,63808,82092,99478,107824
NY,New York,114254,111974,111931,111944,108505
TN,Tennessee,67547,73712,87965,98963,108620
OH,Ohio,90381,93182,98868,102506,108774
GA,Georgia,40760,55911,76019,100157,108901
MS,Mississippi,41613,53794,74674,95203,109145
MI,Michigan,88337,92879,103655,107759,109175
SD,South Dakota,70361,81343,88565,100948,109222
LA,Louisiana,94393,96982,104503,111860,109580
NJ,New Jersey,84429,91607,102437,108692,109632
IL,Illinois,112033,106913,111509,113924,109658
VA,Virginia,50398,63306,86320,99863,109979
PA,Pennsylvania,128299,121003,120293,116638,110652
KY,Kentucky,88917,89240,94174,105543,110702
WA,Washington,79548,82119,92948,102410,110730
