"GEO_ID","NAME","B19083_001M","B19083_001E",
"Geography","Geographic Area Name","Margin of Error!!Gini Index","Estimate!!Gini Index",
"1600000US1938595","Iowa City city, Iowa","0.033","0.532",
"1600000US1973335","Sioux City city, Iowa","0.025","0.422",
"1600000US1982425","Waterloo city, Iowa","0.023","0.427",
"1600000US2036000","Kansas City city, Kansas","0.021","0.440",
"1600000US2038900","Lawrence city, Kansas","0.037","0.465",
"1600000US2052575","Olathe city, Kansas","0.024","0.382",
"1600000US2053775","Overland Park city, Kansas","0.017","0.431",
"1600000US2071000","Topeka city, Kansas","0.025","0.449",
"1600000US2079000","Wichita city, Kansas","0.015","0.459",
"1600000US2146027","Lexington-Fayette urban county, Kentucky","0.019","0.472",
"1600000US2148006","Louisville/Jefferson County metro government (balance), Kentucky","0.012","0.479",
"1600000US2205000","Baton Rouge city, Louisiana","0.019","0.522",
"1600000US2239475","Kenner city, Louisiana","0.029","0.455",
"1600000US2240735","Lafayette city, Louisiana","0.029","0.481",
"1600000US2241155","Lake Charles city, Louisiana","0.039","0.516",
"1600000US2250115","Metairie CDP, Louisiana","0.020","0.485",
"1600000US2255000","New Orleans city, Louisiana","0.022","0.540",
"1600000US2270000","Shreveport city, Louisiana","0.021","0.495",
"1600000US2360545","Portland city, Maine","0.032","0.460",
"1600000US2404000","Baltimore city, Maryland","0.013","0.497",
"1600000US2419125","Columbia CDP, Maryland","0.023","0.386",
"1600000US2426000","Ellicott City CDP, Maryland","0.041","0.407",
"1600000US2430325","Frederick city, Maryland","0.026","0.394",
"1600000US2432025","Germantown CDP, Maryland","0.028","0.371",
"1600000US2472450","Silver Spring CDP, Maryland","0.037","0.453",
"1600000US2481175","Waldorf CDP, Maryland","0.028","0.358",
"1600000US2507000","Boston city, Massachusetts","0.013","0.543",
"1600000US2509000","Brockton city, Massachusetts","0.028","0.439",
"1600000US2511000","Cambridge city, Massachusetts","0.025","0.514",
"1600000US2523000","Fall River city, Massachusetts","0.025","0.461",
"1600000US2524960","Framingham CDP, Massachusetts","0.034","0.434",
"1600000US2534550","Lawrence city, Massachusetts","0.040","0.517",
"1600000US2537000","Lowell city, Massachusetts","0.024","0.414",
"1600000US2537490","Lynn city, Massachusetts","0.026","0.454",
"1600000US2545000","New Bedford city, Massachusetts","0.019","0.445",
"1600000US2545560","Newton city, Massachusetts","0.027","0.515",
"1600000US2555745","Quincy city, Massachusetts","0.031","0.441",
"1600000US2562535","Somerville city, Massachusetts","0.024","0.435",
"1600000US2567000","Springfield city, Massachusetts","0.020","0.456",
"1600000US2582000","Worcester city, Massachusetts","0.019","0.468",
"1600000US2603000","Ann Arbor city, Michigan","0.021","0.480",
"1600000US2621000","Dearborn city, Michigan","0.031","0.456",
"1600000US2622000","Detroit city, Michigan","0.010","0.488",
"1600000US2627440","Farmington Hills city, Michigan","0.035","0.484",
"1600000US2629000","Flint city, Michigan","0.024","0.481",
"1600000US2634000","Grand Rapids city, Michigan","0.016","0.421",
"1600000US2642160","Kalamazoo city, Michigan","0.046","0.507",
"1600000US2646000","Lansing city, Michigan","0.019","0.420",
"1600000US2649000","Livonia city, Michigan","0.022","0.386",
"1600000US2669035","Rochester Hills city, Michigan","0.024","0.409",
"1600000US2674900","Southfield city, Michigan","0.022","0.438",
"1600000US2676460","Sterling Heights city, Michigan","0.016","0.383",
"1600000US2680700","Troy city, Michigan","0.045","0.455",
