,2019,2020,2021,2022
Campbell,"3,468,181","3,367,409","3,530,601","3,574,511"
Carlisle,"166,024","159,594","183,501","179,930"
Carroll,"2,067,829","1,822,214","1,894,374","1,959,178"
Carter,"492,472","494,461","489,372","496,913"
Casey,"328,782","345,607","344,283","333,480"
Christian,"5,769,579","5,845,841","6,003,910","5,863,865"
Clark,"1,560,879","1,497,131","1,524,142","1,554,628"
Clay,"345,495","355,765","353,985","348,105"
Clinton,"330,110","336,194","339,794","349,851"
Crittenden,"178,709","169,572","185,482","175,006"
Cumberland,"159,988","165,042","159,485","163,099"
Daviess,"4,677,584","4,623,651","4,599,632","4,529,411"
Edmonson,"183,687","181,288","184,378","185,100"
Elliott,"81,490","77,405","74,866","80,294"
Estill,"218,927","211,717","208,708","212,300"
Fayette,"20,570,897","19,855,647","20,654,079","21,209,754"
Fleming,"312,870","318,876","320,944","312,849"
Floyd,"1,125,158","1,027,176","1,081,480","1,115,923"
Franklin,"3,099,335","3,076,775","3,173,545","3,337,094"
Fulton,"197,390","185,773","210,359","201,766"
Gallatin,"342,087","347,736","350,125","358,902"
Garrard,"265,537","253,507","254,237","258,783"
Grant,"523,045","502,610","562,826","563,507"
Graves,"1,214,306","1,186,436","1,250,559","1,324,617"
Grayson,"732,507","713,403","730,829","730,243"
Green,"164,635","175,831","173,339","159,719"
Greenup,"927,712","794,636","796,813","768,065"
Hancock,"796,558","780,454","783,988","827,180"
Hardin,"5,282,845","5,193,092","5,444,660","5,566,918"
Harlan,"525,151","473,608","496,123","557,542"
Harrison,"530,757","501,499","535,094","528,599"
Hart,"589,026","559,966","572,695","559,944"
Henderson,"2,001,873","1,952,564","1,997,129","1,994,337"
Henry,"338,548","312,731","323,680","324,432"
Hickman,"168,977","137,229","167,958","183,015"
Hopkins,"1,797,953","1,696,850","1,797,360","1,902,259"
Jackson,"165,220","166,724","159,640","164,146"
Jefferson,"57,321,878","56,347,937","58,631,608","59,529,847"
Jessamine,"2,060,948","2,074,597","2,042,712","2,047,343"
Johnson,"455,156","425,395","426,708","431,715"
Kenton,"8,655,484","8,957,085","9,452,970","9,574,067"
Knott,"217,022","213,952","200,325","198,290"
Knox,"633,410","605,194","616,157","618,978"
Larue,"228,462","228,157","244,720","215,651"
Laurel,"2,143,365","2,154,785","2,199,953","2,215,698"
Lawrence,"353,225","352,256","346,069","338,728"
Lee,"127,161","124,867","120,832","118,993"
Leslie,"163,890","149,921","138,808","143,755"
Letcher,"356,836","330,865","357,047","389,631"
Lewis,"203,386","196,571","198,315","186,308"
Lincoln,"419,054","409,538","415,980","415,937"
Livingston,"276,294","300,651","307,934","307,430"
Logan,"1,120,649","1,104,960","1,109,797","1,064,153"
Lyon,"220,420","221,745","218,315","223,901"
McCracken,"4,366,936","4,297,994","4,749,034","4,733,470"
McCreary,"257,002","262,216","263,866","250,844"
McLean,"264,486","195,274","228,040","257,976"
Madison,"3,035,165","2,900,677","3,032,485","3,106,363"
Magoffin,"162,116","148,711","147,905","143,688"
Marion,"921,460","889,636","925,930","923,442"
Marshall,"1,537,127","1,626,280","1,607,175","1,657,667"
Martin,"235,076","193,631","191,410","184,594"
Mason,"1,070,801","1,073,417","1,148,123","1,171,645"
Meade,"538,061","546,457","632,304","629,559"
Menifee,"89,964","89,441","90,027","85,749"
Mercer,"804,177","752,709","797,986","863,461"
Metcalfe,"180,586","175,465","191,110","188,163"
Monroe,"306,228","300,158","307,865","326,476"
Montgomery,"1,015,894","972,650","1,015,943","1,072,089"
Morgan,"263,729","251,029","251,875","253,485"
Muhlenberg,"1,226,802","1,073,223","1,040,525","1,123,541"
Nelson,"1,614,069","1,603,205","1,710,873","1,735,012"
Nicholas,"97,028","89,007","96,696","88,851"
Ohio,"859,538","730,570","781,644","814,518"
Oldham,"1,956,803","1,806,488","1,930,809","1,974,160"
Owen,"181,216","169,919","176,337","176,607"
Owsley,"50,800","48,629","52,230","49,626"
Pendleton,"280,867","275,526","289,242","296,608"
Perry,"942,187","895,596","908,060","948,549"
Pike,"2,032,041","1,887,284","1,889,831","1,924,074"
Powell,"226,372","224,618","228,964","225,448"
Pulaski,"2,254,618","2,118,197","2,220,083","2,207,694"
Robertson,"26,108","26,663","28,338","27,790"
Rockcastle,"338,213","336,568","331,754","348,474"
Rowan,"764,704","722,906","736,875","749,429"
Russell,"619,595","626,820","623,168","696,562"
Scott,"3,690,241","3,425,678","3,429,179","3,580,949"
Shelby,"1,680,052","1,603,919","1,683,943","1,654,144"
Simpson,"991,035","934,636","967,469","949,882"
Spencer,"283,039","300,537","309,066","313,513"
Taylor,"881,693","878,446","834,954","821,633"
Todd,"337,587","337,996","379,383","391,143"
Trigg,"284,458","264,809","280,408","270,382"
Trimble,"512,604","527,364","532,461","637,372"
Union,"682,812","728,364","713,915","799,913"
Warren,"6,519,081","6,506,302","6,981,126","7,352,178"
Washington,"325,917","308,545","328,720","327,620"
Wayne,"444,490","427,910","436,188","419,934"
Webster,"507,699","367,633","444,715","385,441"
Whitley,"1,068,609","1,035,280","1,079,309","1,103,467"
Wolfe,"98,137","103,944","111,677","111,185"
Woodford,"1,188,364","1,109,612","1,139,695","1,170,602"
,,,,
Louisiana,"246,361,128","228,825,323","234,014,356","231,262,265"
Acadia,"1,549,092","1,551,990","1,484,912","1,470,411"
Allen,"704,916","696,572","702,034","702,344"
Ascension,"8,905,634","8,044,486","8,300,163","8,759,357"
Assumption,"502,251","460,475","485,503","457,269"
Avoyelles,"920,443","902,852","888,729","827,300"
Beauregard,"1,158,750","1,243,997","1,162,765","1,177,814"
Bienville,"520,022","535,432","594,755","577,741"
Bossier,"5,424,200","5,161,974","5,403,743","5,398,850"
Caddo,"13,234,570","12,532,871","13,019,705","13,128,753"
Calcasieu,"15,516,071","12,601,171","13,134,933","12,477,178"
Caldwell,"196,949","189,454","189,316","182,052"
Cameron,"1,310,878","1,020,192","1,107,695","805,003"
Catahoula,"179,492","182,219","180,073","161,120"
Claiborne,"395,228","359,332","371,542","389,024"
Concordia,"580,443","566,186","569,339","548,431"
De Soto,"2,630,900","2,342,941","2,340,049","2,065,912"
East Baton Rouge,"34,763,581","32,240,835","32,499,972","33,011,806"
East Carroll,"160,578","162,797","161,825","132,565"
East Feliciana,"504,254","477,560","474,372","471,478"
Evangeline,"877,191","855,330","779,398","837,348"
Franklin,"475,029","474,776","471,791","423,767"
Grant,"372,402","383,526","399,608","437,946"
Iberia,"3,093,863","2,888,994","2,757,672","2,633,763"
Iberville,"2,621,503","2,479,355","2,328,243","2,184,870"
Jackson,"465,368","491,278","467,693","473,408"
Jefferson,"23,999,402","22,601,346","23,724,906","23,989,257"
Jefferson Davis,"846,667","845,565","790,992","772,006"
Lafayette,"14,400,378","13,832,850","14,250,880","14,294,888"
Lafourche,"4,012,084","3,835,654","3,765,723","3,781,568"
LaSalle,"492,719","454,749","426,048","419,832"
Lincoln,"2,125,946","1,995,745","2,054,052","1,990,618"
Livingston,"3,289,250","3,136,184","3,226,276","3,136,007"
Madison,"373,613","343,678","356,017","304,358"
Morehouse,"588,921","592,120","577,892","524,454"
Natchitoches,"1,442,289","1,425,775","1,552,882","1,548,969"
Orleans,"24,277,820","22,296,618","22,787,094","22,936,957"
Ouachita,"7,125,607","6,919,795","6,924,883","7,073,915"
Plaquemines,"3,051,850","2,591,466","2,449,120","2,248,924"
Pointe Coupee,"824,875","710,890","797,356","788,377"
Rapides,"5,774,187","5,637,384","5,727,876","5,578,425"
Red River,"677,286","619,217","681,786","621,549"
Richland,"685,537","674,267","667,763","644,102"
Sabine,"826,596","806,091","913,579","960,989"
St. Bernard,"1,378,286","1,263,528","1,204,829","1,150,352"
St. Charles,"7,811,767","7,083,422","7,478,881","6,858,830"
St. Helena,"208,471","189,233","197,155","190,146"
St. James,"2,810,109","2,209,023","2,145,192","1,980,326"
St. John the Baptist,"3,496,173","2,610,512","2,606,424","2,337,058"
St. Landry,"2,459,571","2,358,368","2,363,324","2,266,361"
St. Martin,"1,346,187","1,259,995","1,298,724","1,314,766"
St. Mary,"2,514,045","2,451,396","2,570,321","2,603,126"
St. Tammany,"12,586,003","12,160,269","12,741,717","12,632,480"
Tangipahoa,"4,338,972","4,222,957","4,382,166","4,299,158"
Tensas,"131,616","117,312","131,168","106,087"
Terrebonne,"5,526,732","5,115,326","5,054,913","5,031,608"
Union,"489,274","457,339","469,123","517,397"
Vermilion,"1,446,203","1,392,073","1,414,952","1,319,736"
Vernon,"2,043,261","2,025,884","2,090,348","2,044,156"
Washington,"1,112,481","1,034,778","1,043,186","1,020,912"
Webster,"1,177,231","1,129,437","1,144,715","1,115,465"
West Baton Rouge,"2,021,535","1,747,321","1,846,126","1,707,766"
West Carroll,"186,447","196,111","190,376","167,866"
West Feliciana,"957,060","1,008,162","988,306","959,323"
Winn,"455,688","482,766","527,798","531,077"
,,,,
Maine,"66,351,151","67,420,598","70,869,930","72,413,523"
Androscoggin,"4,811,181","5,018,298","5,044,783","4,975,728"
Aroostook,"2,574,766","2,606,029","2,599,922","2,633,769"
Cumberland,"22,603,000","23,298,915","24,945,935","25,706,204"
Franklin,"1,107,223","1,119,554","1,124,108","1,085,180"
Hancock,"2,615,758","2,452,614","2,615,896","2,694,161"
Kennebec,"5,810,662","5,854,307","6,204,142","6,281,131"
Knox,"1,923,446","1,855,140","1,953,915","2,010,661"
Lincoln,"1,257,829","1,185,202","1,273,690","1,333,169"
Oxford,"1,720,119","1,769,583","1,797,210","1,800,279"
Penobscot,"6,762,485","6,783,030","7,003,554","7,141,018"
Piscataquis,"545,062","607,670","605,552","602,110"
Sagadahoc,"1,721,282","1,817,756","2,174,938","2,369,611"
Somerset,"1,680,232","1,764,016","1,747,410","1,757,724"
Waldo,"1,439,870","1,416,690","1,477,812","1,536,413"
Washington,"1,066,649","1,094,157","1,094,552","1,070,328"
York,"8,709,944","8,780,741","9,224,713","9,451,612"
,,,,
Maryland,"402,346,194","388,532,286","405,905,303","412,282,552"
Allegany,"3,066,344","2,857,439","2,830,897","2,708,986"
Anne Arundel,"50,256,244","48,568,269","51,162,190","51,814,364"
Baltimore,"54,773,560","51,971,826","54,031,025","54,869,055"
Calvert,"4,449,274","4,510,387","4,162,937","4,172,196"
Caroline,"1,193,522","1,064,628","1,210,357","1,247,049"
Carroll,"6,460,183","6,076,395","6,231,087","6,285,057"
Cecil,"4,811,135","4,754,756","4,896,274","5,055,208"
Charles,"6,031,473","5,739,215","5,874,961","5,884,327"
Dorchester,"1,291,430","1,274,627","1,376,580","1,392,173"
Frederick,"14,085,158","13,459,401","14,265,785","14,379,015"
Garrett,"1,290,622","1,269,546","1,328,812","1,244,145"
Harford,"13,286,042","12,986,893","13,427,074","13,275,589"
Howard,"27,549,464","27,325,666","28,968,473","28,625,939"
Kent,"962,273","913,575","931,898","896,847"
Montgomery,"91,753,090","89,002,356","92,605,105","93,746,007"
Prince George's,"46,392,722","44,430,794","46,256,758","47,313,611"
Queen Anne's,"1,905,006","1,754,622","2,050,122","1,970,524"
St. Mary's,"7,535,678","7,859,546","7,844,387","7,671,853"
Somerset,"817,971","792,931","847,677","981,077"
Talbot,"2,060,247","1,891,937","1,978,278","1,993,065"
Washington,"7,064,113","6,609,758","7,106,593","7,150,408"
Wicomico,"5,024,676","4,903,031","5,278,008","5,439,581"
Worcester,"2,834,764","2,547,132","2,913,660","2,994,254"
Baltimore City,"47,452,079","45,985,408","48,360,542","51,194,064"
,,,,
Massachusetts,"566,706,170","556,196,418","591,911,488","604,357,731"
Barnstable,"13,537,095","12,654,827","13,490,964","13,771,725"
Berkshire,"6,998,340","6,766,260","6,896,795","6,927,750"
Bristol,"26,645,826","25,819,946","27,449,005","27,281,600"
Dukes,"1,469,628","1,407,779","1,445,253","1,453,109"
Essex,"46,020,521","43,992,053","46,565,610","47,094,918"
Franklin,"2,917,567","2,913,131","2,877,170","2,835,214"
Hampden,"22,784,592","22,263,246","23,241,880","23,213,480"
Hampshire,"7,838,147","7,472,707","7,567,556","7,702,689"
Middlesex,"174,052,620","174,861,873","188,703,914","190,978,324"
Nantucket,"1,351,160","1,251,479","1,378,384","1,384,714"
Norfolk,"54,657,040","52,754,957","55,422,410","57,045,702"
Plymouth,"26,619,396","25,051,382","26,633,983","26,619,904"
Suffolk,"137,817,167","136,032,512","145,017,316","151,982,653"
Worcester,"44,035,944","43,083,909","45,449,132","46,308,136"
,,,,
Michigan,"517,845,213","502,483,729","531,499,956","539,898,171"
Alcona,"221,851","218,075","227,555","233,463"
Alger,"248,962","235,281","249,845","252,795"
Allegan,"4,513,197","4,642,771","4,871,976","4,923,836"
Alpena,"1,059,452","1,042,861","1,095,294","1,113,501"
Antrim,"603,708","567,794","618,396","643,281"
Arenac,"429,012","421,726","433,226","438,604"
Baraga,"277,087","266,945","283,702","287,701"
Barry,"1,519,347","1,481,855","1,536,818","1,529,010"
Bay,"3,535,699","3,549,806","3,841,031","3,851,098"
Benzie,"492,580","469,699","518,265","545,233"
Berrien,"7,329,099","7,508,467","7,479,801","7,380,206"
Branch,"1,411,355","1,357,269","1,448,379","1,402,866"
Calhoun,"6,411,827","6,372,022","6,912,586","6,984,617"
Cass,"1,119,323","1,065,345","1,106,068","1,227,885"
Charlevoix,"1,176,794","1,117,643","1,271,337","1,330,806"
Cheboygan,"626,483","581,940","647,997","652,297"
Chippewa,"1,131,912","1,064,691","1,141,584","1,178,825"
Clare,"1,040,688","1,108,704","1,123,732","1,134,928"
Clinton,"2,163,457","2,162,088","2,331,054","2,378,667"
Crawford,"432,769","406,131","454,804","443,867"
Delta,"1,243,926","1,189,587","1,237,653","1,186,844"
Dickinson,"1,336,687","1,278,305","1,411,943","1,350,278"
Eaton,"5,237,756","5,198,989","5,731,760","5,936,643"
Emmet,"1,756,825","1,671,235","1,873,065","1,922,925"
Genesee,"16,614,426","15,314,342","15,693,584","15,582,622"
Gladwin,"497,494","483,385","469,078","476,949"
Gogebic,"477,639","451,284","471,244","483,073"
Grand Traverse,"5,128,096","4,968,737","5,328,093","5,464,037"
Gratiot,"1,330,567","1,424,742","1,460,868","1,501,799"
Hillsdale,"1,542,944","1,522,442","1,788,240","1,855,473"
Houghton,"1,111,661","1,062,026","1,149,367","1,184,480"
Huron,"1,348,842","1,440,311","1,434,960","1,477,755"
Ingham,"17,259,113","17,189,472","17,784,510","18,414,382"
Ionia,"1,685,062","1,450,831","1,614,380","1,735,884"
Iosco,"838,828","872,469","936,692","948,081"
Iron,"339,501","308,255","315,673","319,833"
Isabella,"2,392,346","2,351,078","2,453,561","2,483,611"
Jackson,"6,546,808","6,366,847","6,877,822","6,764,879"
Kalamazoo,"14,955,523","15,060,387","16,058,496","16,352,859"
Kalkaska,"570,333","532,315","587,588","591,612"
Kent,"43,337,486","42,663,668","45,001,717","45,773,477"
Keweenaw,"51,895","47,752","53,249","56,730"
Lake,"227,098","234,605","227,954","219,698"
Lapeer,"2,244,057","2,231,793","2,279,163","2,273,132"
Leelanau,"776,959","722,961","800,150","836,415"
Lenawee,"2,926,591","3,019,486","3,258,737","3,281,154"
Livingston,"7,187,384","6,959,951","7,571,722","7,639,351"
Luce,"155,244","145,073","156,221","157,490"
Mackinac,"437,625","404,737","473,682","484,095"
Macomb,"40,170,145","37,952,844","41,171,772","41,541,466"
Manistee,"856,426","818,263","850,114","852,715"
Marquette,"2,690,762","2,610,519","2,866,840","2,766,215"
Mason,"1,005,506","990,607","1,020,954","1,000,565"
Mecosta,"1,297,709","1,183,648","1,318,012","1,244,293"
Menominee,"719,117","651,062","706,009","718,458"
Midland,"5,351,030","5,689,344","5,840,210","5,978,041"
Missaukee,"441,013","409,174","416,439","437,331"
Monroe,"5,928,026","5,597,580","5,738,150","5,708,370"
Montcalm,"1,578,954","1,546,367","1,624,127","1,595,649"
Montmorency,"259,437","249,783","243,628","241,287"
Muskegon,"6,118,683","5,901,734","6,155,453","6,229,824"
Newaygo,"1,405,946","1,352,273","1,367,870","1,393,394"
Oakland,"108,104,324","104,374,423","110,201,352","112,082,079"
Oceana,"664,863","617,005","612,398","619,532"
Ogemaw,"556,639","541,310","545,329","549,797"
Ontonagon,"130,713","123,525","131,541","134,539"
Osceola,"765,361","729,725","752,834","755,510"
Oscoda,"217,209","188,967","210,542","210,770"
Otsego,"993,295","1,013,137","1,055,134","1,049,710"
Ottawa,"14,431,684","14,538,962","16,111,511","16,840,293"
Presque Isle,"324,743","334,295","360,325","346,849"
Roscommon,"588,729","600,377","604,863","617,884"
Saginaw,"8,429,628","8,247,600","8,783,209","8,854,522"
St. Clair,"5,350,490","5,359,518","5,644,807","5,721,083"
St. Joseph,"2,032,794","2,012,037","2,177,696","2,166,807"
Sanilac,"1,178,075","1,158,246","1,218,292","1,202,993"
Schoolcraft,"274,535","267,718","284,536","253,121"
Shiawassee,"1,702,269","1,606,127","1,708,284","1,729,620"
Tuscola,"1,222,412","1,266,648","1,320,344","1,343,494"
Van Buren,"2,829,297","2,927,369","2,841,918","2,680,416"
Washtenaw,"25,481,406","24,988,323","26,314,261","26,780,892"
Wayne,"98,126,894","93,170,196","97,837,633","100,266,092"
Wexford,"1,307,351","1,213,789","1,346,369","1,346,697"
,,,,
Minnesota,"368,688,713","358,127,237","374,733,259","379,111,541"
Aitkin,"490,271","469,134","497,681","501,559"
Anoka,"15,770,462","15,367,475","15,619,854","15,446,761"
Becker,"1,387,471","1,374,108","1,430,857","1,435,298"
Beltrami,"1,793,768","1,814,397","1,864,126","1,854,419"
Benton,"1,772,932","1,754,099","1,781,367","1,796,943"
Big Stone,"191,467","220,737","231,537","239,782"
Blue Earth,"4,069,834","3,951,497","4,045,116","4,070,244"
Brown,"1,442,256","1,343,370","1,411,466","1,414,890"
Carlton,"1,363,502","1,349,861","1,465,988","1,385,328"
Carver,"5,517,353","5,218,426","5,586,866","5,740,656"
Cass,"995,436","952,895","1,294,656","1,067,253"
Chippewa,"539,133","542,425","587,080","590,461"
Chisago,"1,626,531","1,560,143","1,659,841","1,644,266"
Clay,"2,082,321","2,037,263","2,137,607","2,149,577"
Clearwater,"275,589","279,499","332,225","307,082"
Cook,"265,485","240,731","254,344","254,037"
Cottonwood,"583,952","647,556","658,647","692,076"
Crow Wing,"2,920,647","2,820,172","2,871,067","2,843,556"
Dakota,"26,702,704","25,628,285","26,229,045","26,077,137"
Dodge,"747,219","703,647","794,965","800,078"
Douglas,"1,969,190","1,960,790","2,068,068","2,098,662"
Faribault,"475,731","487,550","549,628","551,976"
Fillmore,"601,852","641,806","643,718","654,985"
Freeborn,"1,224,403","1,212,570","1,289,853","1,320,797"
Goodhue,"2,811,851","2,829,305","2,783,642","2,922,702"
Grant,"251,990","264,345","276,593","300,452"
Hennepin,"141,491,857","137,239,443","146,519,635","150,146,936"
Houston,"530,006","550,041","585,432","584,837"
Hubbard,"816,920","795,238","808,550","811,761"
Isanti,"1,127,572","1,087,365","1,138,606","1,112,013"
Itasca,"2,099,009","1,956,394","2,066,313","2,095,373"
Jackson,"664,810","620,441","617,149","629,180"
Kanabec,"428,529","413,073","429,159","411,938"
Kandiyohi,"2,232,069","2,130,008","2,213,470","2,277,008"
Kittson,"183,866","225,274","275,203","267,550"
Koochiching,"541,634","491,683","478,291","477,144"
Lac qui Parle,"251,494","277,090","308,823","323,139"
Lake,"552,982","501,125","483,945","440,382"
Lake of the Woods,"192,283","194,082","195,400","192,322"
Le Sueur,"938,508","937,622","928,777","920,255"
Lincoln,"314,293","328,695","363,869","418,566"
Lyon,"1,575,482","1,480,692","1,546,282","1,546,265"
McLeod,"1,824,193","1,737,880","1,807,020","1,710,141"
Mahnomen,"168,459","158,188","195,156","188,632"
Marshall,"393,558","421,204","453,563","444,255"
Martin,"1,086,046","961,517","1,060,625","1,035,892"
Meeker,"1,071,255","991,182","1,052,713","1,144,076"
Mille Lacs,"829,611","773,565","835,064","817,976"
Morrison,"1,089,146","1,105,463","1,056,192","1,088,423"
Mower,"1,841,258","1,837,067","1,913,219","1,978,794"
Murray,"525,349","499,325","448,801","453,837"
Nicollet,"1,552,144","1,449,268","1,515,831","1,573,290"
Nobles,"1,218,216","1,231,888","1,220,514","1,252,817"
Norman,"229,356","231,719","268,864","247,620"
Olmsted,"11,756,446","11,554,089","11,905,171","11,994,255"
Otter Tail,"2,256,055","2,329,010","2,405,425","2,403,205"
Pennington,"1,726,529","1,692,643","2,034,568","2,003,829"
Pine,"739,159","697,061","725,722","730,992"
Pipestone,"678,229","628,433","613,808","637,733"
Polk,"1,344,840","1,379,879","1,484,831","1,382,369"
Pope,"511,536","517,133","561,002","566,281"
Ramsey,"43,269,570","41,653,200","42,454,434","43,178,777"
Red Lake,"156,936","153,111","188,737","187,489"
Redwood,"798,941","822,945","927,218","972,308"
Renville,"638,303","716,129","798,124","780,819"
Rice,"2,763,329","2,756,910","2,829,224","2,841,590"
Rock,"630,317","595,129","557,180","595,307"
Roseau,"1,066,062","1,055,878","1,231,774","1,273,388"
St. Louis,"10,439,617","9,822,704","10,169,882","10,243,518"
Scott,"6,924,989","6,623,207","7,170,017","7,110,489"
Sherburne,"3,525,245","3,410,609","3,411,398","3,528,375"
Sibley,"411,920","411,104","443,168","452,671"
Stearns,"8,808,067","8,645,618","8,749,830","8,863,045"
Steele,"2,282,615","2,144,218","2,225,116","2,114,552"
Stevens,"586,026","625,559","610,254","634,462"
Swift,"448,555","472,981","503,795","576,188"
Todd,"819,540","751,930","753,035","780,062"
Traverse,"156,439","210,924","204,287","223,058"
Wabasha,"743,332","773,101","784,241","780,254"
Wadena,"512,555","508,739","515,748","495,880"
Waseca,"684,645","703,468","759,535","779,413"
Washington,"11,825,991","11,550,565","11,746,473","11,490,276"
Watonwan,"446,359","426,177","469,846","465,949"
Wilkin,"293,494","286,820","329,043","329,293"
Winona,"2,331,524","2,340,342","2,344,642","2,365,609"
Wright,"4,956,154","5,037,802","5,170,637","5,161,577"
Yellow Medicine,"494,241","506,812","500,085","515,955"
,,,,
Mississippi,"110,537,881","109,894,099","114,198,473","114,152,942"
Adams,"941,808","880,919","926,868","906,785"
Alcorn,"1,224,583","1,240,187","1,260,844","1,287,599"
Amite,"252,686","235,760","244,828","246,035"
Attala,"459,399","503,024","520,259","568,007"
Benton,"248,435","292,378","253,031","302,851"
Bolivar,"967,953","1,005,833","1,018,132","932,015"
Calhoun,"272,260","300,107","298,010","277,152"
Carroll,"112,234","108,574","111,875","102,959"
Chickasaw,"475,870","508,980","510,454","439,523"
Choctaw,"659,721","638,627","640,535","728,729"
Claiborne,"760,479","584,890","735,843","652,425"
Clarke,"276,651","278,266","269,641","265,893"
Clay,"496,926","505,457","521,116","527,481"
Coahoma,"715,039","660,354","699,444","662,374"
Copiah,"642,312","630,471","671,099","696,154"
Covington,"563,831","566,544","674,738","698,502"
DeSoto,"6,003,914","6,171,397","6,611,001","6,677,482"
Forrest,"3,556,477","3,462,417","3,630,428","3,649,577"
Franklin,"187,541","190,725","195,130","196,485"
George,"489,832","480,018","461,626","460,959"
Greene,"153,352","156,060","152,997","154,676"
Grenada,"927,986","900,701","931,250","927,055"
Hancock,"1,585,830","1,618,172","1,678,711","1,673,685"
Harrison,"8,818,979","8,836,650","9,411,878","9,584,534"
Hinds,"12,279,785","11,939,417","12,135,568","12,222,322"
Holmes,"279,496","272,617","277,777","274,444"
Humphreys,"184,750","187,891","202,799","171,137"
Issaquena,"21,237","25,666","25,518","19,267"
Itawamba,"554,931","583,936","557,163","562,428"
Jackson,"6,666,863","6,999,378","7,149,448","7,098,762"
Jasper,"479,855","459,997","451,373","457,165"
Jefferson,"99,862","91,938","97,284","94,431"
Jefferson Davis,"167,566","156,101","154,639","158,532"
Jones,"2,559,610","2,442,010","2,502,634","2,636,142"
Kemper,"358,783","318,030","295,233","314,679"
Lafayette,"2,148,138","2,097,331","2,209,593","2,280,150"
Lamar,"1,725,096","1,724,347","1,854,857","1,883,124"
Lauderdale,"3,295,711","3,402,800","3,423,491","3,346,698"
Lawrence,"344,689","324,538","343,679","343,094"
Leake,"571,467","504,434","613,318","641,847"
Lee,"4,943,727","4,680,309","5,008,623","4,950,249"
Leflore,"1,163,109","1,180,981","1,286,649","1,149,227"
Lincoln,"1,137,371","1,121,546","1,167,833","1,139,131"
Lowndes,"2,926,595","2,940,194","2,874,434","2,995,062"
Madison,"6,422,822","6,426,459","6,860,414","7,137,527"
Marion,"857,650","805,002","805,331","801,416"
Marshall,"713,638","806,170","823,459","805,247"
Monroe,"917,269","926,248","965,894","939,838"
Montgomery,"187,049","192,773","197,691","191,506"
Neshoba,"1,061,173","974,926","1,057,795","1,098,891"
Newton,"495,548","491,300","499,712","505,405"
Noxubee,"231,192","231,793","275,127","233,206"
Oktibbeha,"1,763,250","1,757,341","1,819,119","1,862,002"
Panola,"1,110,840","1,065,039","1,033,125","1,056,342"
Pearl River,"1,128,463","1,053,719","1,019,456","1,035,016"
Perry,"301,748","300,976","328,511","306,460"
Pike,"1,128,032","1,097,920","1,127,215","1,120,966"
Pontotoc,"956,917","915,420","993,781","941,666"
Prentiss,"582,956","597,652","597,203","590,942"
Quitman,"99,154","93,350","108,699","87,960"
Rankin,"6,588,275","6,759,062","7,114,419","7,051,468"
Scott,"1,083,490","1,020,027","1,078,182","1,102,518"
Sharkey,"92,299","97,963","110,123","75,856"
Simpson,"613,544","581,052","611,862","632,880"
Smith,"381,666","360,527","382,613","395,581"
Stone,"385,192","375,470","387,486","390,371"
Sunflower,"618,616","666,972","701,967","608,306"
Tallahatchie,"278,700","281,733","305,385","254,212"
Tate,"508,040","495,975","516,129","512,204"
Tippah,"639,491","678,808","676,527","628,280"
Tishomingo,"571,383","601,491","561,261","594,734"
Tunica,"544,666","513,526","538,646","528,272"
Union,"1,144,513","1,084,955","1,089,402","1,118,278"
Walthall,"266,783","249,200","259,653","259,105"
Warren,"2,242,383","2,313,551","2,340,768","2,232,602"
Washington,"1,414,652","1,422,825","1,460,902","1,332,733"
Wayne,"624,082","575,004","624,623","617,692"
Webster,"187,842","191,742","193,048","197,222"
Wilkinson,"144,239","142,304","149,912","146,535"
Winston,"502,859","466,823","498,471","501,584"
Yalobusha,"324,527","317,295","308,214","309,042"
Yazoo,"718,069","757,672","721,119","673,400"
,,,,
Missouri,"320,880,824","315,276,211","330,117,450","336,625,841"
Adair,"818,203","796,619","808,525","815,522"
Andrew,"314,915","318,123","317,466","303,545"
Atchison,"289,003","317,984","360,412","389,385"
Audrain,"895,995","849,380","874,731","837,423"
Barry,"1,506,887","1,447,361","1,483,169","1,660,207"
Barton,"317,269","349,179","357,062","384,418"
Bates,"468,150","476,367","448,149","427,801"
Benton,"411,707","392,703","401,878","418,988"
Bollinger,"180,114","185,980","188,588","185,172"
Boone,"9,731,758","9,445,917","9,936,398","9,936,865"
Buchanan,"5,046,550","4,931,456","4,938,456","4,852,606"
Butler,"1,423,285","1,440,303","1,485,011","1,478,074"
Caldwell,"215,773","225,062","223,850","213,527"
Callaway,"1,814,403","1,758,806","1,552,001","1,795,547"
Camden,"1,583,121","1,552,878","1,648,949","1,624,353"
Cape Girardeau,"4,087,470","3,945,189","4,097,205","4,097,673"
Carroll,"366,903","326,352","332,186","324,212"
Carter,"124,819","119,247","126,585","121,137"
Cass,"2,790,740","2,801,331","2,894,949","2,910,435"
Cedar,"273,269","278,487","294,234","299,419"
Chariton,"282,726","283,804","280,297","253,716"
Christian,"1,805,875","1,803,204","1,890,038","1,926,203"
Clark,"141,590","148,131","156,796","148,321"
Clay,"12,854,851","12,824,417","13,178,952","13,971,675"
Clinton,"399,341","392,009","410,416","404,845"
Cole,"5,444,281","5,282,800","5,329,829","5,367,545"
Cooper,"459,690","444,866","444,530","453,550"
Crawford,"646,381","639,670","680,022","662,386"
Dade,"179,201","181,894","186,471","188,204"
Dallas,"266,971","259,983","266,794","271,623"
