city,population,2020,2021,2022,2023
"Cambridge city, Massachusetts","118,395","118,218","117,275","117,420","118,214"
"Richardson city, Texas","119,464","119,299","118,114","118,698","117,435"
"Antioch city, California","115,305","115,379","115,494","115,780","117,096"
"High Point city, North Carolina","114,161","114,846","115,140","115,557","116,926"
"Clearwater city, Florida","117,428","117,333","117,137","117,005","116,850"
"League City city, Texas","114,348","114,657","115,661","115,479","116,320"
"Odessa city, Texas","114,451","114,926","112,184","113,029","115,743"
"Manchester city, New Hampshire","115,652","115,508","115,122","115,767","115,474"
"Evansville city, Indiana","117,292","117,373","116,614","115,644","115,332"
"Waterbury city, Connecticut","114,455","113,880","114,563","114,588","114,990"
"West Jordan city, Utah","116,963","117,032","116,531","116,597","114,908"
"Las Cruces city, New Mexico","111,382","111,698","112,879","113,972","114,892"
"Westminster city, Colorado","116,601","116,594","115,057","114,771","114,875"
"Lowell city, Massachusetts","115,553","115,462","114,613","114,191","114,296"
"Nampa city, Idaho","100,308","101,310","106,496","110,858","114,268"
"Richmond city, California","116,324","116,196","115,785","114,944","114,106"
"Pompano Beach city, Florida","112,055","111,957","111,504","112,274","113,619"
"Carlsbad city, California","114,737","114,924","114,964","114,275","113,495"
"Menifee city, California","102,528","103,228","107,130","110,378","113,433"
"Provo city, Utah","115,170","115,103","114,945","113,689","113,343"
"Elgin city, Illinois","114,810","114,617","114,036","113,131","113,310"
"Greeley city, Colorado","108,794","109,272","108,661","109,245","112,609"
"Springfield city, Illinois","114,436","114,298","113,733","113,071","112,544"
"Beaumont city, Texas","115,136","114,857","113,607","112,280","112,193"
"Lansing city, Michigan","112,661","112,566","112,464","112,273","112,115"
"Murrieta city, California","110,954","111,146","112,278","112,076","111,878"
"Goodyear city, Arizona","96,182","97,838","102,917","107,506","111,805"
"Allen city, Texas","104,646","105,548","107,053","111,575","111,620"
"Tuscaloosa city, Alabama","99,628","104,217","109,078","110,575","111,338"
"Everett city, Washington","110,606","110,893","111,105","111,584","111,180"
"Pueblo city, Colorado","111,871","111,899","111,976","111,418","111,077"
"New Braunfels city, Texas","90,408","91,643","99,075","104,729","110,958"
"South Fulton city, Georgia","108,050","108,211","109,299","111,030","110,920"
"Miami Gardens city, Florida","111,636","111,477","111,607","110,586","110,717"
"Gresham city, Oregon","114,249","114,470","113,108","111,544","110,685"
"Temecula city, California","109,994","110,094","111,026","110,860","110,682"
"Rio Rancho city, New Mexico","104,044","104,433","106,288","108,755","110,660"
"Peoria city, Illinois","113,174","112,845","111,787","110,777","110,460"
"Tyler city, Texas","105,982","106,272","107,378","109,352","110,327"
"Sparks city, Nevada","108,463","108,889","109,697","109,293","110,323"
"Concord city, North Carolina","105,307","104,885","107,011","108,693","110,119"
"Santa Maria city, California","109,697","109,782","110,106","110,088","109,987"
"San Buenaventura (Ventura) city, California","110,738","110,620","110,019","108,900","109,058"
