city,population,2020,2021,2022,2023
"Foster City city, California","33,806","33,733","32,735","32,299","32,180"
"Nacogdoches city, Texas","32,132","32,092","32,048","32,049","32,156"
"Laramie city, Wyoming","31,405","31,423","31,986","32,181","32,152"
"McDonough city, Georgia","29,058","29,327","29,913","30,346","32,138"
"Morristown city, Tennessee","30,448","30,480","30,547","31,423","32,099"
"Bay City city, Michigan","32,659","32,611","32,445","32,208","32,082"
"Sanford city, North Carolina","30,193","30,267","30,605","31,274","32,064"
"Atwater city, California","31,966","31,931","32,166","32,219","32,052"
"Des Moines city, Washington","32,915","32,887","32,834","32,426","31,988"
"O'Fallon city, Illinois","32,327","32,307","32,280","32,081","31,968"
"Dania Beach city, Florida","31,773","31,728","31,520","31,655","31,915"
"West Bend city, Wisconsin","31,739","31,706","31,666","31,623","31,886"
"Bell city, California","33,562","33,449","32,736","32,199","31,864"
"Fairbanks city, Alaska","32,512","32,401","32,175","31,994","31,856"
"Chamblee city, Georgia","30,148","30,211","29,841","29,830","31,841"
"Naugatuck borough, Connecticut","31,580","31,492","31,616","31,677","31,820"
"Wheat Ridge city, Colorado","32,399","32,379","32,326","31,852","31,804"
"Shawnee city, Oklahoma","31,281","31,319","31,557","31,640","31,803"
"SeaTac city, Washington","31,437","31,384","30,915","30,513","31,799"
"Santa Paula city, California","30,674","30,773","31,170","31,414","31,792"
"Mundelein village, Illinois","31,573","31,533","31,586","31,645","31,790"
"Poughkeepsie city, New York","31,591","31,564","32,041","31,946","31,772"
"Houma city, Louisiana","33,408","33,342","33,131","32,096","31,733"
"Leesburg city, Florida","26,998","27,111","27,919","29,173","31,721"
"Morrisville town, North Carolina","29,631","29,892","31,240","31,389","31,703"
"Menlo Park city, California","33,784","33,690","32,566","31,955","31,690"
"Brooklyn Center city, Minnesota","33,780","33,656","32,912","32,225","31,688"
"Banning city, California","29,522","29,826","30,822","31,220","31,680"
"Michigan City city, Indiana","32,060","32,010","32,050","31,833","31,659"
"Rome city, New York","32,115","31,878","31,698","31,686","31,652"
"Waukee city, Iowa","23,961","24,380","26,501","29,181","31,645"
"Bangor city, Maine","31,739","31,720","31,508","31,611","31,628"
"Juneau city and borough, Alaska","32,256","32,209","31,979","31,740","31,555"
"North Olmsted city, Ohio","32,439","32,378","32,061","31,718","31,538"
"Carlsbad city, New Mexico","32,237","32,282","31,850","31,511","31,499"
"Elk Grove Village village, Illinois","32,825","32,701","32,112","31,596","31,350"
"Seaside city, California","32,384","32,335","32,037","31,488","31,317"
"Alamogordo city, New Mexico","30,927","30,936","31,188","31,167","31,284"
"San Pablo city, California","32,120","32,089","31,883","31,514","31,249"
"Miami Lakes town, Florida","30,458","30,436","30,454","30,811","31,238"
"Southlake city, Texas","31,273","31,263","31,125","31,119","31,137"
"El Paso de Robles (Paso Robles) city, California","31,493","31,484","31,534","31,316","31,134"
"Pekin city, Illinois","31,748","31,681","31,471","31,191","31,126"
"Northport city, Alabama","31,194","31,202","31,093","31,023","31,111"
"Lawrenceville city, Georgia","30,679","30,588","30,338","30,638","31,015"
"Beverly Hills city, California","32,699","32,578","31,881","31,350","30,974"
"North Attleborough Town city, Massachusetts","30,831","30,826","30,908","30,910","30,943"
"Matthews town, North Carolina","29,428","29,520","29,600","30,451","30,934"
"Athens city, Alabama","25,411","25,707","27,073","28,642","30,904"
"Jackson city, Michigan","31,317","31,309","31,196","30,974","30,854"
"Hopkinsville city, Kentucky","31,175","31,174","31,006","30,913","30,813"
"Liberty city, Missouri","30,161","30,227","30,335","30,769","30,794"
"Harrison village, New York","28,215","28,155","29,688","29,570","30,780"
"Bixby city, Oklahoma","28,619","28,742","29,203","29,786","30,698"
"North Royalton city, Ohio","31,331","31,287","31,041","30,792","30,687"
"Casselberry city, Florida","28,782","28,946","29,124","29,890","30,595"
"Port Chester village, New York","31,751","31,576","31,323","30,869","30,584"
"Westfield town, New Jersey","31,038","30,895","30,836","30,583","30,559"
"Leland town, North Carolina","23,358","23,863","26,019","28,540","30,542"
"Paragould city, Arkansas","29,546","29,656","30,027","30,154","30,520"
"Lafayette city, Colorado","30,409","30,433","30,730","30,750","30,439"
"Morgantown city, West Virginia","30,194","30,187","30,289","30,323","30,429"
"North Chicago city, Illinois","30,757","30,712","30,649","30,517","30,416"
"Ballwin city, Missouri","31,169","31,139","30,926","30,631","30,410"
"Bowling Green city, Ohio","30,799","30,793","28,564","29,655","30,384"
"Daphne city, Alabama","27,463","27,682","28,748","29,667","30,321"
"Converse city, Texas","27,709","27,860","28,690","29,611","30,321"
"Holladay city, Utah","31,961","31,865","31,393","30,806","30,298"
"Princeton, New Jersey","30,676","30,610","30,534","30,306","30,289"
"Highland Park city, Illinois","30,188","30,155","30,200","30,194","30,272"
"Enterprise city, Alabama","28,697","28,834","29,398","29,784","30,271"
"Laguna Hills city, California","31,369","31,311","30,968","30,591","30,243"
"Statesville city, North Carolina","28,461","28,596","29,191","29,693","30,220"
"Clayton town, North Carolina","26,317","26,693","28,368","29,439","30,216"
"Gurnee village, Illinois","30,715","30,654","30,549","30,339","30,193"
"Newark city, Delaware","30,619","30,599","29,876","30,136","30,169"
"Fridley city, Minnesota","29,578","29,576","30,378","30,301","30,156"
"Lawndale city, California","31,826","31,734","31,074","30,531","30,155"
"Middletown city, New York","30,341","30,279","30,428","30,263","30,152"
"Algonquin village, Illinois","29,707","29,676","29,969","29,936","30,134"
"Magna metro township, Utah","29,251","29,261","29,245","29,650","30,087"
"Hazleton city, Pennsylvania","29,937","29,912","30,052","30,006","30,037"
"North Tonawanda city, New York","30,495","30,433","30,399","30,180","30,031"
"Los Altos city, California","31,467","31,350","30,567","30,151","29,990"
"Anderson city, South Carolina","29,456","29,476","29,561","29,785","29,980"
"Gloucester city, Massachusetts","29,731","29,743","29,971","29,833","29,959"
"Burlingame city, California","31,386","31,278","30,200","29,822","29,910"
"La Verne city, California","31,582","31,472","30,802","30,274","29,898"
"Winter Park city, Florida","29,805","30,018","29,783","29,922","29,894"
"Kalispell city, Montana","24,737","24,924","26,478","28,611","29,886"
"Rahway city, New Jersey","29,551","29,671","29,971","29,670","29,813"
"Central city, Louisiana","29,563","29,559","29,591","29,698","29,781"
"Atascadero city, California","29,776","29,744","29,761","29,665","29,700"
"Schererville town, Indiana","29,659","29,661","29,718","29,667","29,657"
"Englewood city, New Jersey","29,310","29,231","29,159","29,568","29,624"
"Saratoga city, California","31,041","30,913","30,112","29,727","29,607"
"Pooler city, Georgia","25,610","25,676","27,004","28,740","29,544"
"Easton city, Pennsylvania","28,128","28,084","30,200","29,571","29,538"
"Niles village, Illinois","30,909","30,791","30,228","29,743","29,513"
"Independence city, Kentucky","28,688","28,783","29,092","29,317","29,503"
"Rockledge city, Florida","27,685","27,706","28,344","28,488","29,452"
"Hobart city, Indiana","29,740","29,717","29,591","29,459","29,408"
"Laurel city, Maryland","30,068","29,983","29,555","29,353","29,400"
"Burton city, Michigan","29,708","29,665","29,564","29,446","29,376"
"Northampton city, Massachusetts","29,573","27,324","29,538","29,419","29,370"
"Melrose city, Massachusetts","29,819","29,735","29,409","29,313","29,357"
"Russellville city, Arkansas","28,937","28,954","29,020","29,110","29,338"
"Crestview city, Florida","27,464","27,569","27,866","28,275","29,300"
"Texarkana city, Arkansas","29,387","29,375","29,238","29,347","29,223"
"Kirkwood city, Missouri","29,465","29,452","29,386","29,289","29,174"
"West Melbourne city, Florida","25,935","26,578","27,906","28,836","29,144"
"Galesburg city, Illinois","30,045","29,944","29,647","29,249","29,130"
"Monterey city, California","30,228","30,111","29,909","29,511","29,116"
"Raytown city, Missouri","30,007","29,955","29,625","29,301","29,097"
"Jacksonville city, Arkansas","29,487","29,507","29,255","29,134","29,094"
"Chaska city, Minnesota","27,812","27,879","28,096","28,284","29,034"
"Woodburn city, Oregon","26,004","25,979","26,092","27,294","29,033"
"Parkersburg city, West Virginia","29,741","29,664","29,457","29,208","29,025"
"Oak Park city, Michigan","29,573","29,523","29,375","29,164","29,023"
"Southgate city, Michigan","30,017","29,920","29,603","29,299","29,002"
"Fredericksburg city, Virginia","27,973","27,991","28,437","28,648","28,928"
"Garfield Heights city, Ohio","29,790","29,727","29,408","29,078","28,900"
"San Carlos city, California","30,725","30,638","29,622","29,098","28,862"
"Bridgewater Town city, Massachusetts","28,624","28,510","28,884","28,789","28,818"
"Suisun City city, California","29,517","29,478","29,261","28,939","28,743"
"Twentynine Palms city, California","28,067","28,067","29,141","29,895","28,734"
"Jeffersontown city, Kentucky","29,233","29,180","29,043","28,906","28,716"
"Lake in the Hills village, Illinois","28,986","28,927","28,976","28,686","28,661"
"Alvin city, Texas","27,071","27,153","27,562","28,209","28,633"
"Ramsey city, Minnesota","27,640","27,816","28,215","28,350","28,560"
"Saratoga Springs city, New York","28,503","28,540","28,706","28,584","28,544"
"Shaker Heights city, Ohio","29,443","29,376","29,048","28,720","28,541"
"Slidell city, Louisiana","28,754","28,694","28,797","28,636","28,510"
"Fountain city, Colorado","29,810","29,894","29,714","28,924","28,489"
"Maple Valley city, Washington","28,011","28,085","28,189","28,214","28,434"
"West Springfield Town city, Massachusetts","28,832","28,768","28,663","28,479","28,424"
"Marysville city, Ohio","25,585","25,706","26,589","27,144","28,423"
"Happy Valley city, Oregon","23,743","24,041","25,689","26,438","28,409"
"Agawam Town city, Massachusetts","28,695","28,626","28,440","28,373","28,406"
"Port Huron city, Michigan","28,975","28,928","28,794","28,523","28,383"
"Glen Ellyn village, Illinois","28,925","28,869","28,648","28,418","28,347"
"Frankfort city, Kentucky","28,608","28,611","28,562","28,359","28,285"
"Eagle Pass city, Texas","28,155","28,160","28,136","28,174","28,282"
"Bergenfield borough, New Jersey","28,334","28,304","28,242","28,199","28,274"
"Huntley village, Illinois","27,745","27,766","28,008","28,124","28,269"
"McHenry city, Illinois","27,316","27,340","27,602","28,234","28,251"
"Madison Heights city, Michigan","28,462","28,389","28,279","28,365","28,238"
"Newburgh city, New York","28,862","28,772","28,825","28,521","28,237"
"Oakdale city, Minnesota","28,297","28,268","28,025","27,815","28,226"
"East Palo Alto city, California","30,040","29,948","28,913","28,400","28,216"
"Danville city, Illinois","29,207","29,130","28,801","28,383","28,206"
"Burbank city, Illinois","29,448","29,337","28,821","28,369","28,164"
"Venice city, Florida","25,465","25,597","26,283","27,284","28,150"
"Pearl city, Mississippi","27,106","27,133","27,341","27,671","28,117"
"Aberdeen city, South Dakota","28,491","28,432","28,314","28,157","28,110"
"Marion city, Indiana","28,319","28,251","28,119","28,017","28,105"
"Ridgecrest city, California","27,959","28,022","28,247","28,244","28,088"
"Kuna city, Idaho","24,048","24,484","26,621","27,224","28,050"
"New Lenox village, Illinois","27,222","27,258","27,518","27,615","28,047"
"Prior Lake city, Minnesota","27,612","27,628","28,139","28,138","28,027"
"Princeton city, Texas","17,033","17,537","20,107","22,919","28,027"
"Kernersville town, North Carolina","26,503","26,557","26,870","27,801","28,016"
"Mauldin city, South Carolina","24,746","24,776","25,681","26,909","28,010"
"Madison city, Mississippi","27,751","27,757","27,748","27,819","27,987"
"Conway city, South Carolina","24,981","25,125","25,683","27,414","27,985"
"Monroeville municipality, Pennsylvania","28,644","28,649","28,397","28,250","27,974"
"Jamestown city, New York","28,700","28,667","28,454","28,102","27,965"
"Glen Cove city, New York","28,360","28,218","28,152","28,025","27,879"
"Bristol city, Tennessee","27,132","27,183","27,549","27,722","27,854"
"Brawley city, California","26,520","26,509","26,735","27,161","27,849"
"Union City city, Georgia","26,841","27,064","27,390","27,879","27,832"
"Mint Hill town, North Carolina","26,447","26,528","26,674","27,383","27,815"
"Carrollton city, Georgia","26,828","26,827","26,825","27,354","27,793"
"Lake Jackson city, Texas","28,181","28,146","27,886","27,670","27,768"
"Homewood city, Alabama","26,409","27,394","28,097","27,852","27,758"
"Henderson city, Kentucky","28,207","28,141","27,957","27,690","27,734"
"Mount Pleasant village, Wisconsin","27,726","27,714","27,665","27,613","27,727"
"Asheboro city, North Carolina","27,180","27,222","27,374","27,530","27,726"
"Lansing village, Illinois","29,078","28,962","28,418","27,936","27,713"
"Williston city, North Dakota","29,169","29,317","27,358","26,931","27,706"
"Greenville city, Mississippi","29,691","29,493","28,778","28,025","27,644"
"Winchester city, Virginia","28,124","28,013","28,092","27,861","27,617"
"Fremont city, Nebraska","27,128","27,114","27,329","27,342","27,602"
"Kent city, Ohio","28,206","28,178","24,785","27,147","27,601"
"Rosemount city, Minnesota","25,650","25,786","26,644","27,070","27,590"
"Maryland Heights city, Missouri","28,301","28,257","28,056","27,783","27,575"
"Marshalltown city, Iowa","27,584","27,569","27,446","27,396","27,574"
"Lemon Grove city, California","27,631","27,602","27,388","27,353","27,569"
"New London city, Connecticut","27,374","26,718","27,328","27,566","27,560"
"Jenks city, Oklahoma","25,950","26,077","26,632","27,131","27,553"
"Allen Park city, Michigan","28,650","28,557","28,237","27,826","27,528"
"Dodge City city, Kansas","27,793","27,735","27,699","27,481","27,514"
"Simpsonville city, South Carolina","23,383","23,601","24,724","26,725","27,506"
"Anna city, Texas","16,891","17,370","20,222","23,528","27,501"
"Williamsport city, Pennsylvania","27,761","27,737","27,519","27,507","27,470"
"Neenah city, Wisconsin","27,330","27,373","27,577","27,361","27,453"
"Thomasville city, North Carolina","27,169","27,168","27,250","27,325","27,435"
"Tualatin city, Oregon","27,940","27,884","27,599","27,784","27,383"
"Garden City city, Kansas","28,145","28,026","27,845","27,509","27,371"
"Millville city, New Jersey","27,494","27,413","27,367","27,301","27,358"
"Elk River city, Minnesota","25,841","25,941","26,268","26,750","27,342"
"Hamtramck city, Michigan","28,433","28,339","28,024","27,617","27,339"
"Green city, Ohio","27,484","27,455","27,377","27,266","27,338"
"Gladstone city, Missouri","27,068","27,109","27,062","26,898","27,329"
"Camas city, Washington","26,073","26,461","27,095","27,360","27,254"
"Tumwater city, Washington","26,040","26,140","26,820","26,856","27,239"
"Cabot city, Arkansas","26,567","26,557","26,665","26,830","27,190"
"Palm Springs village, Florida","26,876","26,888","26,749","26,859","27,132"
"Walnut city, California","28,437","28,348","27,770","27,354","27,104"
"New Iberia city, Louisiana","28,519","28,402","27,999","27,480","27,080"
"Wooster city, Ohio","27,246","27,236","26,568","27,046","27,030"
"Wilmette village, Illinois","28,173","28,075","27,633","27,204","27,026"
"Oxford city, Mississippi","25,424","25,503","26,035","26,490","27,008"
"Temple Terrace city, Florida","26,704","26,708","27,148","27,221","26,972"
"Lindenhurst village, New York","27,146","27,091","27,186","27,104","26,972"
"Wasco city, California","27,050","25,376","26,222","27,088","26,917"
"Granite City city, Illinois","27,566","27,516","27,328","27,091","26,908"
"Mason City city, Iowa","27,340","27,269","27,165","26,911","26,906"
"Troy city, Ohio","26,329","26,375","26,488","26,683","26,848"
"Sebastian city, Florida","25,037","25,126","25,689","26,345","26,846"
"South Portland city, Maine","26,497","26,575","27,077","27,019","26,840"
"Lemoore city, California","27,062","27,121","27,312","27,067","26,809"
"Forest Grove city, Oregon","26,217","26,231","26,233","26,775","26,799"
"Round Lake Beach village, Illinois","27,260","27,204","27,099","26,913","26,783"
"Trussville city, Alabama","26,119","26,196","26,348","26,499","26,770"
"Bridgeton city, New Jersey","27,273","27,160","26,713","26,407","26,763"
"Paducah city, Kentucky","27,124","27,127","26,902","26,793","26,749"
"Balch Springs city, Texas","27,704","27,622","27,153","26,899","26,711"
"Edwardsville city, Illinois","26,833","26,803","26,711","26,635","26,698"
"Clinton city, Mississippi","28,102","27,977","27,455","26,973","26,698"
"Vernon Hills village, Illinois","26,857","26,823","26,799","26,788","26,677"
"West Linn city, Oregon","27,372","27,384","27,185","26,932","26,629"
"Belmont city, California","28,329","28,258","27,337","26,834","26,622"
"Hercules city, California","26,020","26,117","26,178","26,174","26,582"
"Ossining village, New York","27,541","27,355","26,935","26,832","26,542"
"Lockport city, Illinois","26,094","26,149","26,149","26,105","26,537"
"Owatonna city, Minnesota","26,430","26,418","26,444","26,495","26,534"
"Horn Lake city, Mississippi","26,736","26,742","26,765","26,475","26,468"
"Benicia city, California","27,135","27,106","26,916","26,617","26,429"
"Superior city, Wisconsin","26,750","26,767","26,417","26,505","26,423"
"Plum borough, Pennsylvania","27,164","27,142","26,942","26,651","26,391"
"Yukon city, Oklahoma","23,638","23,793","24,699","25,572","26,388"
"Moscow city, Idaho","25,452","25,515","25,938","26,213","26,387"
"Easley city, South Carolina","22,965","23,035","23,352","24,461","26,386"
"Lebanon city, Pennsylvania","26,820","26,794","26,657","26,451","26,378"
"Shoreview city, Minnesota","26,932","26,920","26,686","26,620","26,374"
"Katy city, Texas","21,882","22,441","23,798","25,286","26,360"
"Wilsonville city, Oregon","26,662","26,717","26,665","26,591","26,345"
"Sanger city, California","26,622","26,640","26,622","26,451","26,343"
"Denison city, Texas","24,460","24,542","25,153","26,363","26,343"
"Garden City city, Michigan","27,389","27,298","26,996","26,608","26,325"
"Moses Lake city, Washington","25,270","25,348","25,656","26,004","26,299"
"Paramus borough, New Jersey","26,692","26,605","26,487","26,343","26,282"
"Batavia city, Illinois","26,311","26,316","26,347","26,219","26,235"
"Derby city, Kansas","25,661","25,712","25,777","25,931","26,233"
"Wheeling city, West Virginia","27,071","26,996","26,671","26,422","26,208"
"Oak Forest city, Illinois","27,467","27,361","26,851","26,404","26,199"
"Ridgewood village, New Jersey","25,982","25,905","26,243","26,149","26,194"
"Chicago Heights city, Illinois","27,476","27,364","26,850","26,401","26,184"
"Elmira city, New York","26,515","26,316","26,426","26,136","26,176"
"Austin city, Minnesota","26,177","26,204","26,290","26,147","26,171"
"Norfolk city, Nebraska","25,911","25,889","25,945","25,962","26,147"
"South Salt Lake city, Utah","26,768","26,713","26,029","25,996","26,122"
"Newberg city, Oregon","25,452","25,484","25,545","25,803","26,095"
"Winona city, Minnesota","25,997","25,981","26,010","25,832","26,029"
"Auburn city, New York","26,870","26,855","26,481","26,109","25,983"
"Reedley city, California","25,225","25,243","25,277","25,529","25,958"
"Avon Lake city, Ohio","25,203","25,279","25,542","25,600","25,942"
"Chanhassen city, Minnesota","25,951","25,982","26,079","26,241","25,937"
"Greenfield city, Indiana","23,481","23,570","24,163","24,795","25,920"
"Staunton city, Virginia","25,753","25,812","25,689","25,940","25,915"
"Franklin city, Indiana","25,326","25,374","25,649","25,715","25,908"
"North Augusta city, South Carolina","24,430","24,487","24,818","25,272","25,891"
"Sugar Hill city, Georgia","25,066","25,125","25,280","25,424","25,889"
"Medina city, Ohio","26,085","26,076","26,094","26,035","25,889"
"Tarpon Springs city, Florida","25,135","25,146","25,609","25,871","25,872"
"Dinuba city, California","24,612","24,794","25,346","25,578","25,863"
"Lodi borough, New Jersey","26,200","26,122","26,002","25,787","25,832"
"East Chicago city, Indiana","26,379","26,342","26,200","25,971","25,830"
"Windsor town, California","26,359","26,340","26,260","26,005","25,828"
"Farmington city, Utah","24,534","24,577","24,582","25,653","25,771"
"Galt city, California","25,637","25,652","25,669","25,626","25,767"
"Centerville city, Ohio","24,249","24,237","24,739","25,129","25,754"
"Stevens Point city, Wisconsin","25,676","25,696","24,714","25,696","25,752"
"Colleyville city, Texas","26,051","26,057","25,993","25,859","25,736"
"Eureka city, California","26,563","26,496","26,367","26,109","25,734"
"Xenia city, Ohio","25,418","25,442","25,508","25,592","25,725"
"Brandon city, Mississippi","25,137","25,168","25,405","25,514","25,719"
"Woodstock city, Illinois","25,629","25,605","25,760","25,646","25,699"
"Corsicana city, Texas","25,120","25,147","25,534","25,597","25,671"
"South Pasadena city, California","26,941","26,845","26,269","25,860","25,623"
"Salem city, Virginia","25,347","25,403","25,416","25,700","25,600"
"Auburn Hills city, Michigan","24,368","24,376","24,783","25,517","25,597"
"Farragut town, Tennessee","23,506","23,579","24,384","24,810","25,579"
"Rockville Centre village, New York","26,009","25,898","25,857","25,686","25,578"
"Cliffside Park borough, New Jersey","25,692","25,634","25,630","25,502","25,570"
"El Cerrito city, California","25,955","25,941","25,899","25,724","25,552"
"Belton city, Missouri","23,979","24,036","24,254","25,404","25,534"
"Mequon city, Wisconsin","25,148","25,201","25,291","25,339","25,489"
"Imperial Beach city, California","26,131","26,102","25,907","25,675","25,458"
"Starkville city, Mississippi","25,778","25,748","25,809","25,536","25,444"
"Peekskill city, New York","25,433","25,324","25,837","25,548","25,442"
"Grandview city, Missouri","26,200","26,156","25,877","25,601","25,436"
"Nixa city, Missouri","23,262","23,446","24,165","24,748","25,405"
"Avon city, Ohio","24,843","24,932","25,232","25,352","25,403"
"Norco city, California","26,298","25,395","24,614","24,959","25,398"
"Gardner city, Kansas","23,329","23,417","23,992","24,196","25,378"
"De Pere city, Wisconsin","25,411","25,435","25,381","25,363","25,348"
"Caledonia village, Wisconsin","25,351","25,335","25,281","25,224","25,326"
"Muskego city, Wisconsin","25,038","25,084","25,260","25,141","25,312"
"Raymore city, Missouri","22,924","23,020","24,161","24,171","25,306"
"Belvidere city, Illinois","25,345","25,283","25,161","25,134","25,297"
"Walker city, Michigan","25,136","25,234","25,184","25,062","25,289"
"Carteret borough, New Jersey","25,331","25,297","25,218","25,105","25,281"
"Pickerington city, Ohio","23,100","23,260","23,916","24,527","25,256"
"Ottumwa city, Iowa","25,543","25,455","25,396","25,214","25,252"
"Perrysburg city, Ohio","25,033","25,039","25,110","25,169","25,236"
"Belton city, Texas","23,050","23,138","23,605","24,246","25,171"
"Fairfax city, Virginia","24,147","24,177","24,353","24,752","25,144"
"Saginaw city, Texas","23,893","24,016","24,021","25,311","25,139"
"Shelbyville city, Tennessee","23,559","23,627","24,032","24,458","25,132"
"Dickinson city, North Dakota","25,674","25,809","25,168","24,916","25,130"
"Pelham city, Alabama","24,167","24,247","24,507","24,746","25,121"
"West Chicago city, Illinois","25,625","25,564","25,418","25,193","25,116"
"Loma Linda city, California","24,786","24,887","25,143","25,126","25,111"
"Key West city, Florida","26,440","26,360","25,981","25,566","25,103"
"Patterson city, California","23,786","23,823","24,267","24,744","25,063"
"Inkster city, Michigan","26,078","25,993","25,702","25,324","25,056"
"Lafayette city, California","25,399","25,392","25,298","25,112","25,048"
"Bessemer city, Alabama","26,067","26,014","25,648","25,288","25,037"
"Middletown town, Delaware","23,196","23,386","24,273","24,709","25,022"
"Alton city, Illinois","25,660","25,608","25,422","25,189","25,006"
"Norton Shores city, Michigan","25,033","25,018","25,073","25,009","25,005"
"Riverbank city, California","24,866","24,876","24,851","24,835","25,001"
"Fairhope city, Alabama","22,464","22,702","23,301","23,866","24,974"
"Paris city, Texas","24,476","24,505","24,649","24,684","24,969"
"Barstow city, California","25,409","25,411","25,362","25,155","24,964"
"University Park city, Texas","25,278","25,239","25,060","24,985","24,954"
"Cartersville city, Georgia","23,152","23,213","23,290","23,868","24,937"
"Herndon town, Virginia","24,645","24,583","24,362","24,186","24,935"
"Kerrville city, Texas","24,291","24,338","24,521","24,790","24,930"
"Lexington town, South Carolina","23,552","23,653","24,330","24,646","24,921"
"Hastings city, Nebraska","25,144","25,140","24,939","24,909","24,896"
"Foley city, Alabama","20,486","20,748","22,196","23,693","24,873"
"Hazelwood city, Missouri","25,470","25,427","25,237","25,059","24,863"
"Ardmore city, Oklahoma","24,718","24,729","24,795","24,775","24,847"
"Auburn city, Maine","24,055","24,074","24,275","24,369","24,793"
"Fernley city, Nevada","22,898","23,028","23,573","24,275","24,744"
"Mercer Island city, Washington","25,752","25,747","25,345","25,026","24,742"
"Newport city, Rhode Island","25,168","25,113","25,086","25,012","24,717"
"Wadsworth city, Ohio","24,021","24,072","24,382","24,530","24,709"
"Romulus city, Michigan","25,171","25,112","25,077","24,861","24,702"
"Yorkville city, Illinois","21,533","21,681","22,686","23,864","24,693"
"Athens city, Ohio","23,843","23,824","20,700","22,718","24,673"
"Zanesville city, Ohio","24,768","24,774","24,768","24,593","24,651"
"Faribault city, Minnesota","24,456","24,445","24,448","24,400","24,642"
"Johnston city, Iowa","24,058","24,111","24,248","24,383","24,640"
"Fate city, Texas","17,963","18,412","21,004","22,808","24,626"
"Fort Dodge city, Iowa","24,870","24,864","25,031","24,667","24,591"
"Mandan city, North Dakota","24,186","24,214","24,401","24,478","24,586"
"Kingsville city, Texas","25,406","25,357","25,064","24,847","24,586"
"Barberton city, Ohio","25,180","25,137","25,008","24,820","24,563"
"Homer Glen village, Illinois","24,549","24,505","24,551","24,458","24,546"
"San Benito city, Texas","24,849","24,829","24,687","24,642","24,493"
"Selma city, California","24,676","24,672","24,636","24,527","24,467"
"Columbus city, Nebraska","24,029","24,076","24,136","24,236","24,464"
"Ridgeland city, Mississippi","24,662","24,616","24,484","24,444","24,459"
"Eustis city, Florida","23,198","23,221","23,635","23,966","24,457"
"Greenbelt city, Maryland","24,922","24,869","24,622","24,359","24,360"
"Seal Beach city, California","25,232","25,190","24,933","24,636","24,352"
"Riverside city, Ohio","24,472","24,472","24,439","24,335","24,340"
"Benbrook city, Texas","24,506","24,469","24,618","24,451","24,336"
"Brookings city, South Dakota","23,370","23,359","23,544","24,003","24,312"
"Decatur city, Georgia","24,942","24,907","24,334","24,327","24,307"
"Ponca City city, Oklahoma","24,423","24,367","24,413","24,389","24,306"
"Florence town, Arizona","27,406","27,342","25,962","25,478","24,291"
"South Elgin village, Illinois","23,881","23,852","23,964","24,018","24,277"
"Palmetto Bay village, Florida","24,446","24,327","23,865","24,226","24,264"
"Bainbridge Island city, Washington","24,826","24,837","24,676","24,510","24,254"
"Sandusky city, Ohio","25,098","25,038","24,800","24,526","24,241"
"Clinton city, Iowa","24,467","24,444","24,457","24,346","24,239"
"Avon town, Indiana","21,513","21,685","22,964","23,687","24,231"
"Zion city, Illinois","24,678","24,626","24,521","24,340","24,206"
"Horizon City city, Texas","22,476","22,636","23,150","23,310","24,168"
"Willoughby city, Ohio","23,860","23,871","23,842","24,114","24,163"
"Watertown city, New York","24,670","24,546","24,650","24,395","24,157"
"Van Buren city, Arkansas","23,210","23,237","23,427","23,737","24,138"
"Royse City city, Texas","13,529","13,719","15,994","19,762","24,138"
"Morton Grove village, Illinois","25,299","25,209","24,735","24,320","24,131"
"South Plainfield borough, New Jersey","24,334","24,286","24,297","24,145","24,131"
"Marshall city, Texas","23,384","23,344","23,635","23,684","24,118"
"Emporia city, Kansas","24,138","24,093","24,024","24,039","24,105"
"Wyandotte city, Michigan","25,044","24,915","24,643","24,303","24,057"
"Payson city, Utah","21,114","21,307","22,158","22,525","24,054"
"Griffin city, Georgia","23,506","23,473","23,698","23,720","24,044"
"Perry city, Georgia","20,624","20,944","22,249","23,514","24,029"
"Oak Harbor city, Washington","24,620","24,625","24,665","24,263","24,016"
"West Haven city, Utah","16,754","17,192","19,818","22,351","24,014"
"Glassboro borough, New Jersey","23,155","23,176","23,439","23,632","23,987"
"Hurricane city, Utah","20,031","20,207","21,816","23,074","23,959"
"Centerton city, Arkansas","17,860","18,240","20,013","21,540","23,953"
"Soledad city, California","24,932","24,683","24,639","24,058","23,947"
"Westmont village, Illinois","24,436","24,384","24,201","23,998","23,933"
"Farmington city, Minnesota","23,676","23,655","23,705","23,602","23,909"
"Roseburg city, Oregon","23,665","23,678","23,846","23,856","23,861"
"West Memphis city, Arkansas","24,515","24,461","24,030","23,790","23,825"
"Maywood city, California","25,123","25,041","24,531","24,124","23,824"
"Searcy city, Arkansas","22,940","22,961","22,904","22,918","23,813"
"Papillion city, Nebraska","24,168","24,383","24,209","23,806","23,791"
"Collinsville city, Illinois","24,368","24,327","24,162","23,944","23,779"
"Kingston city, New York","24,062","24,001","24,168","23,876","23,777"
"Corinth city, Texas","22,635","22,696","22,769","22,911","23,707"
"Solon city, Ohio","24,257","24,217","23,991","23,784","23,702"
"Ennis city, Texas","20,118","20,203","21,238","22,859","23,686"
"Melrose Park village, Illinois","24,811","24,713","24,247","23,844","23,666"
"St. John town, Indiana","20,318","20,516","21,522","22,826","23,644"
