"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"1600000US0955990","Norwalk city, Connecticut","0.4844","0.0313",
"1600000US0973000","Stamford city, Connecticut","0.5345","0.0263",
"1600000US0980000","Waterbury city, Connecticut","0.4693","0.0441",
"1600000US1077580","Wilmington city, Delaware","0.5329","0.0579",
"1600000US1150000","Washington city, District of Columbia","0.5111","0.0104",
"1600000US1200410","Alafaya CDP, Florida","0.4004","0.0275",
"1600000US1207300","Boca Raton city, Florida","0.6068","0.0424",
"1600000US1207875","Boynton Beach city, Florida","0.4082","0.0262",
"1600000US1208150","Brandon CDP, Florida","0.4244","0.0396",
"1600000US1210275","Cape Coral city, Florida","0.4085","0.0232",
"1600000US1212875","Clearwater city, Florida","0.5125","0.0283",
"1600000US1214400","Coral Springs city, Florida","0.4003","0.0238",
"1600000US1216475","Davie town, Florida","0.4956","0.0285",
"1600000US1216525","Daytona Beach city, Florida","0.4515","0.0334",
"1600000US1216725","Deerfield Beach city, Florida","0.4698","0.0685",
"1600000US1217100","Delray Beach city, Florida","0.5307","0.0397",
"1600000US1217200","Deltona city, Florida","0.3754","0.0299",
"1600000US1217935","Doral city, Florida","0.4311","0.0315",
"1600000US1224000","Fort Lauderdale city, Florida","0.5614","0.0321",
"1600000US1224125","Fort Myers city, Florida","0.5414","0.0395",
"1600000US1224581","Four Corners CDP, Florida","0.4160","0.0391",
"1600000US1225175","Gainesville city, Florida","0.5246","0.0335",
"1600000US1230000","Hialeah city, Florida","0.4711","0.0277",
"1600000US1232000","Hollywood city, Florida","0.4914","0.0238",
"1600000US1232275","Homestead city, Florida","0.4377","0.0435",
"1600000US1235000","Jacksonville city, Florida","0.4495","0.0120",
"1600000US1236100","Kendall CDP, Florida","0.5120","0.0559",
"1600000US1236950","Kissimmee city, Florida","0.4236","0.0379",
"1600000US1238250","Lakeland city, Florida","0.4158","0.0282",
"1600000US1239425","Largo city, Florida","0.4739","0.0442",
"1600000US1239550","Lauderhill city, Florida","0.4893","0.0544",
"1600000US1239925","Lehigh Acres CDP, Florida","0.3743","0.0312",
"1600000US1243975","Melbourne city, Florida","0.4569","0.0280",
"1600000US1245000","Miami city, Florida","0.5607","0.0177",
"1600000US1245025","Miami Beach city, Florida","0.6205","0.0428",
"1600000US1245060","Miami Gardens city, Florida","0.4235","0.0349",
"1600000US1245975","Miramar city, Florida","0.4129","0.0331",
"1600000US1249675","North Port city, Florida","0.3676","0.0252",
"1600000US1250750","Ocala city, Florida","0.4522","0.0412",
"1600000US1253000","Orlando city, Florida","0.4996","0.0431",
"1600000US1254000","Palm Bay city, Florida","0.3709","0.0265",
"1600000US1254200","Palm Coast city, Florida","0.4224","0.0377",
"1600000US1254350","Palm Harbor CDP, Florida","0.4890","0.0612",
"1600000US1255775","Pembroke Pines city, Florida","0.4306","0.0256",
"1600000US1256825","Pine Hills CDP, Florida","0.4723","0.0626",
"1600000US1257425","Plantation city, Florida","0.4662","0.0314",
"1600000US1257900","Poinciana CDP, Florida","0.4530","0.0703",
"1600000US1258050","Pompano Beach city, Florida","0.4842","0.0302",
"1600000US1258350","Port Charlotte CDP, Florida","0.3828","0.0405",
"1600000US1258715","Port St. Lucie city, Florida","0.4043","0.0279",
"1600000US1260950","Riverview CDP, Florida","0.3877","0.0360",
"1600000US1263000","St. Petersburg city, Florida","0.5356","0.0261",
"1600000US1268350","Spring Hill CDP, Florida","0.4217","0.0490",
"1600000US1269700","Sunrise city, Florida","0.4187","0.0324",
"1600000US1270600","Tallahassee city, Florida","0.5313","0.0240",
"1600000US1270675","Tamarac city, Florida","0.4276","0.0428",
"1600000US1271000","Tampa city, Florida","0.5526","0.0174",
"1600000US1271625","The Villages CDP, Florida","0.4012","0.0373",
"1600000US1272145","Town 'n' Country CDP, Florida","0.4341","0.0483",
"1600000US1275875","Wesley Chapel CDP, Florida","0.3805","0.0312",
"1600000US1276582","Weston city, Florida","0.4351","0.0382",
"1600000US1276600","West Palm Beach city, Florida","0.5449","0.0448",
"1600000US1301052","Albany city, Georgia","0.4743","0.0315",
"1600000US1301696","Alpharetta city, Georgia","0.4288","0.0330",
"1600000US1303440","Athens-Clarke County unified government (balance), Georgia","0.5133","0.0294",
"1600000US1304000","Atlanta city, Georgia","0.5425","0.0157",
"1600000US1304204","Augusta-Richmond County consolidated government (balance), Georgia","0.5113","0.0349",
"1600000US1319000","Columbus city, Georgia","0.4888","0.0278",
"1600000US1342425","Johns Creek city, Georgia","0.4216","0.0318",
"1600000US1349008","Macon-Bibb County, Georgia","0.5218","0.0355",
"1600000US1367284","Roswell city, Georgia","0.4464","0.0439",
"1600000US1368516","Sandy Springs city, Georgia","0.5285","0.0286",
"1600000US1369000","Savannah city, Georgia","0.4672","0.0282",
"1600000US1372122","South Fulton city, Georgia","0.4041","0.0333",
"1600000US1380508","Warner Robins city, Georgia","0.4528","0.0533",
"1600000US1571550","Urban Honolulu CDP, Hawaii","0.5052","0.0182",
"1600000US1608830","Boise City city, Idaho","0.4618","0.0201",
"1600000US1612250","Caldwell city, Idaho","0.4273","0.0452",
"1600000US1639700","Idaho Falls city, Idaho","0.4564","0.0678",
"1600000US1652120","Meridian city, Idaho","0.4079","0.0253",
"1600000US1656260","Nampa city, Idaho","0.3542","0.0278",
"1600000US1702154","Arlington Heights village, Illinois","0.4815","0.0431",
"1600000US1703012","Aurora city, Illinois","0.4348","0.0251",
"1600000US1706613","Bloomington city, Illinois","0.4961","0.0355",
"1600000US1707133","Bolingbrook village, Illinois","0.3917","0.0279",
"1600000US1712385","Champaign city, Illinois","0.5688","0.0426",
"1600000US1714000","Chicago city, Illinois","0.5246","0.0058",
"1600000US1714351","Cicero town, Illinois","0.3577","0.0273",
"1600000US1718823","Decatur city, Illinois","0.4681","0.0418",
"1600000US1723074","Elgin city, Illinois","0.4105","0.0278",
"1600000US1724582","Evanston city, Illinois","0.5173","0.0301",
"1600000US1738570","Joliet city, Illinois","0.3915","0.0260",
"1600000US1751622","Naperville city, Illinois","0.4510","0.0252",
"1600000US1757225","Palatine village, Illinois","0.4140","0.0332",
"1600000US1759000","Peoria city, Illinois","0.5360","0.0368",
"1600000US1765000","Rockford city, Illinois","0.4800","0.0255",
"1600000US1768003","Schaumburg village, Illinois","0.3945","0.0262",
"1600000US1770122","Skokie village, Illinois","0.4577","0.0363",
"1600000US1772000","Springfield city, Illinois","0.5049","0.0269",
"1600000US1779293","Waukegan city, Illinois","0.3999","0.0333",
"1600000US1805860","Bloomington city, Indiana","0.5583","0.0406",
"1600000US1810342","Carmel city, Indiana","0.4804","0.0284",
"1600000US1822000","Evansville city, Indiana","0.4859","0.0482",
"1600000US1823278","Fishers city, Indiana","0.3936","0.0278",
"1600000US1825000","Fort Wayne city, Indiana","0.4476","0.0217",
"1600000US1827000","Gary city, Indiana","0.5219","0.0400",
"1600000US1831000","Hammond city, Indiana","0.3979","0.0236",
"1600000US1836003","Indianapolis city (balance), Indiana","0.4817","0.0144",
"1600000US1840788","Lafayette city, Indiana","0.3732","0.0312",
"1600000US1851876","Muncie city, Indiana","0.4796","0.0298",
"1600000US1854180","Noblesville city, Indiana","0.4073","0.0422",
"1600000US1871000","South Bend city, Indiana","0.4343","0.0223",
"1600000US1901855","Ames city, Iowa","0.5003","0.0364",
"1600000US1902305","Ankeny city, Iowa","0.3970","0.0448",
"1600000US1912000","Cedar Rapids city, Iowa","0.4475","0.0276",
"1600000US1919000","Davenport city, Iowa","0.4350","0.0275",
"1600000US1921000","Des Moines city, Iowa","0.4386","0.0161",
"1600000US1938595","Iowa City city, Iowa","0.5239","0.0385",
"1600000US1973335","Sioux City city, Iowa","0.4570","0.0432",
"1600000US1982425","Waterloo city, Iowa","0.4361","0.0349",
"1600000US1983910","West Des Moines city, Iowa","0.4638","0.0353",
"1600000US2036000","Kansas City city, Kansas","0.4215","0.0201",
"1600000US2038900","Lawrence city, Kansas","0.4692","0.0301",
"1600000US2052575","Olathe city, Kansas","0.4231","0.0287",
"1600000US2053775","Overland Park city, Kansas","0.4560","0.0263",
"1600000US2064500","Shawnee city, Kansas","0.4322","0.0309",
"1600000US2071000","Topeka city, Kansas","0.4791","0.0303",
"1600000US2079000","Wichita city, Kansas","0.4824","0.0187",
"1600000US2108902","Bowling Green city, Kentucky","0.4822","0.0365",
"1600000US2146027","Lexington-Fayette urban county, Kentucky","0.5041","0.0162",
"1600000US2148006","Louisville/Jefferson County metro government (balance), Kentucky","0.4991","0.0190",
"1600000US2205000","Baton Rouge city, Louisiana","0.5210","0.0204",
"1600000US2239475","Kenner city, Louisiana","0.4625","0.0459",
"1600000US2240735","Lafayette city, Louisiana","0.4989","0.0327",
"1600000US2241155","Lake Charles city, Louisiana","0.5426","0.0781",
"1600000US2250115","Metairie CDP, Louisiana","0.4698","0.0280",
"1600000US2255000","New Orleans city, Louisiana","0.5509","0.0141",
"1600000US2270000","Shreveport city, Louisiana","0.5487","0.0318",
"1600000US2360545","Portland city, Maine","0.4859","0.0278",
"1600000US2404000","Baltimore city, Maryland","0.5157","0.0135",
"1600000US2407125","Bethesda CDP, Maryland","0.5069","0.0264",
"1600000US2419125","Columbia CDP, Maryland","0.4058","0.0233",
"1600000US2423975","Dundalk CDP, Maryland","0.4630","0.0289",
"1600000US2426000","Ellicott City CDP, Maryland","0.3877","0.0269",
"1600000US2430325","Frederick city, Maryland","0.4095","0.0276",
"1600000US2431175","Gaithersburg city, Maryland","0.4145","0.0317",
"1600000US2432025","Germantown CDP, Maryland","0.3976","0.0283",
"1600000US2432650","Glen Burnie CDP, Maryland","0.3988","0.0273",
"1600000US2467675","Rockville city, Maryland","0.4656","0.0328",
"1600000US2472450","Silver Spring CDP, Maryland","0.4814","0.0285",
"1600000US2481175","Waldorf CDP, Maryland","0.3611","0.0297",
"1600000US2507000","Boston city, Massachusetts","0.5470","0.0125",
"1600000US2509000","Brockton city, Massachusetts","0.4576","0.0259",
"1600000US2511000","Cambridge city, Massachusetts","0.5263","0.0269",
"1600000US2523000","Fall River city, Massachusetts","0.4695","0.0291",
"1600000US2524960","Framingham city, Massachusetts","0.4814","0.0347",
"1600000US2529405","Haverhill city, Massachusetts","0.4401","0.0436",
"1600000US2534550","Lawrence city, Massachusetts","0.4631","0.0396",
"1600000US2537000","Lowell city, Massachusetts","0.4539","0.0313",
"1600000US2537490","Lynn city, Massachusetts","0.4408","0.0257",
"1600000US2537875","Malden city, Massachusetts","0.4033","0.0382",
"1600000US2539835","Medford city, Massachusetts","0.4583","0.0315",
"1600000US2545000","New Bedford city, Massachusetts","0.4452","0.0270",
"1600000US2545560","Newton city, Massachusetts","0.5152","0.0240",
"1600000US2555745","Quincy city, Massachusetts","0.4731","0.0367",
"1600000US2562535","Somerville city, Massachusetts","0.4574","0.0258",
"1600000US2567000","Springfield city, Massachusetts","0.4890","0.0245",
"1600000US2582000","Worcester city, Massachusetts","0.4816","0.0218",
"1600000US2603000","Ann Arbor city, Michigan","0.5216","0.0303",
"1600000US2621000","Dearborn city, Michigan","0.4777","0.0367",
"1600000US2622000","Detroit city, Michigan","0.5179","0.0165",
"1600000US2627440","Farmington Hills city, Michigan","0.3846","0.0233",
"1600000US2629000","Flint city, Michigan","0.4565","0.0240",
"1600000US2634000","Grand Rapids city, Michigan","0.4357","0.0324",
"1600000US2642160","Kalamazoo city, Michigan","0.5132","0.0341",
"1600000US2646000","Lansing city, Michigan","0.4343","0.0263",
"1600000US2649000","Livonia city, Michigan","0.3834","0.0197",
"1600000US2659440","Novi city, Michigan","0.4361","0.0414",
"1600000US2669035","Rochester Hills city, Michigan","0.4209","0.0242",
"1600000US2674900","Southfield city, Michigan","0.4265","0.0277",
"1600000US2676460","Sterling Heights city, Michigan","0.4109","0.0202",
"1600000US2680700","Troy city, Michigan","0.4381","0.0243",
"1600000US2684000","Warren city, Michigan","0.4257","0.0257",
"1600000US2686000","Westland city, Michigan","0.4711","0.0408",
"1600000US2688940","Wyoming city, Michigan","0.4606","0.0480",
"1600000US2706382","Blaine city, Minnesota","0.3937","0.0298",
"1600000US2706616","Bloomington city, Minnesota","0.4364","0.0271",
"1600000US2707966","Brooklyn Park city, Minnesota","0.4321","0.0335",
"1600000US2717000","Duluth city, Minnesota","0.4896","0.0284",
"1600000US2717288","Eagan city, Minnesota","0.4180","0.0277",
"1600000US2735180","Lakeville city, Minnesota","0.3746","0.0288",
"1600000US2740166","Maple Grove city, Minnesota","0.4073","0.0279",
"1600000US2743000","Minneapolis city, Minnesota","0.5025","0.0167",
"1600000US2751730","Plymouth city, Minnesota","0.4779","0.0296",
"1600000US2754880","Rochester city, Minnesota","0.4479","0.0298",
"1600000US2756896","St. Cloud city, Minnesota","0.4425","0.0380",
"1600000US2758000","St. Paul city, Minnesota","0.4902","0.0225",
"1600000US2771428","Woodbury city, Minnesota","0.4106","0.0364",
"1600000US2829700","Gulfport city, Mississippi","0.4910","0.0235",
"1600000US2836000","Jackson city, Mississippi","0.5210","0.0251",
"1600000US2915670","Columbia city, Missouri","0.5031","0.0276",
"1600000US2935000","Independence city, Missouri","0.4491","0.0338",
"1600000US2938000","Kansas City city, Missouri","0.4738","0.0126",
